Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey,Incubation Time Hours,Property Measured,Assay
CHEMBL1224279,,C=C(CO)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](NCc6ccc7c(c6)OCO7)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,4.14,CHEMBL1225662,Cytotoxicity against human LN229 cells after 72 hrs by MTS assay,LN-229,ZEAZBNWVIIXFJZ-JNLDGDHFSA-N,72.0,Cytotoxicity,MTS
CHEMBL1224363,,C=C(CNCCO)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(NCc6ccc7c(c6)OCO7)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,4.5,CHEMBL1225662,Cytotoxicity against human LN229 cells after 72 hrs by MTS assay,LN-229,JFJDNAMZIYNXPC-CNHRZFDUSA-N,72.0,Cytotoxicity,MTS
CHEMBL1269453,,COCOc1cc(/C=C/c2cc3c(c(OC)c2)O[C@]2(C)CC[C@@H](O)C(C)(C)[C@H]2C3)cc(OC)c1C/C=C(\C)C/C=C/C(C)COC(=O)CCCC[C@H]1SC[C@H]2NC(=O)N[C@H]21,EC50,5.57,CHEMBL1273920,Cytotoxicity against human SF295 cells,SF295,MYAJMYWMOPXPGG-IYWZCBGFSA-N,,Cytotoxicity,Unspecified
CHEMBL1269454,,COCOc1cc(/C=C/c2cc3c(c(OC)c2)O[C@]2(C)CC[C@@H](O)C(C)(C)[C@H]2C3)cc(OC)c1C/C=C(\C)C/C=C/C(C)CNC(=O)CCCC[C@H]1SC[C@H]2NC(=O)N[C@H]21,EC50,5.96,CHEMBL1273920,Cytotoxicity against human SF295 cells,SF295,NEFHRHHZCAEVPZ-IYWZCBGFSA-N,,Cytotoxicity,Unspecified
CHEMBL4062767,,C=C(c1ccc(OC)cc1)c1cc(C)cc2ccccc12,IC50,6.85,CHEMBL4006122,Cytotoxicity against human U87 cells assessed as decrease in cell growth after 72 hrs by resazurin dye-based fluorimetric method,U-87MG ATCC,DBNFLZAGLUSXCU-UHFFFAOYSA-N,72.0,Cytotoxicity,resazurin dye-based fluorimetric
CHEMBL498271,,C=C(c1ccc(OC)c(O)c1)c1cc(OC)c(OC)c(OC)c1,IC50,8.11,CHEMBL4006122,Cytotoxicity against human U87 cells assessed as decrease in cell growth after 72 hrs by resazurin dye-based fluorimetric method,U-87MG ATCC,CNGKIRSNRQSORA-UHFFFAOYSA-N,72.0,Cytotoxicity,resazurin dye-based fluorimetric
CHEMBL2164695,,Cc1c2c(cc[n+]1Cc1ccc(F)cc1)c1ccc(OCc3ccc(F)cc3)cc1n2Cc1ccc(F)cc1.[Br-],IC50,4.85,CHEMBL2166484,Growth inhibition of human T98G cells after 3 days by MTT assay,T98G,CHTGQWXZLQUCQI-UHFFFAOYSA-M,72.0,Growth inhibition,MTT
CHEMBL2164718,,Cc1c2c(cc[n+]1Cc1ccc(F)cc1)c1ccc(OCc3ccccc3)cc1n2Cc1ccccc1.[Br-],IC50,6.22,CHEMBL2166484,Growth inhibition of human T98G cells after 3 days by MTT assay,T98G,HDGXFFZEDXJLJV-UHFFFAOYSA-M,72.0,Growth inhibition,MTT
CHEMBL2164716,,Cc1c2c(cc[n+]1Cc1ccccc1)c1ccc(OCc3ccccc3)cc1n2Cc1ccccc1.[Br-],IC50,6.32,CHEMBL2166484,Growth inhibition of human T98G cells after 3 days by MTT assay,T98G,SEZZOMVRRQGVSJ-UHFFFAOYSA-M,72.0,Growth inhibition,MTT
CHEMBL1645544,,C=CCOc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,4.5,CHEMBL2166484,Growth inhibition of human T98G cells after 3 days by MTT assay,T98G,JBSMSTGKQFHUBO-UHFFFAOYSA-N,72.0,Growth inhibition,MTT
CHEMBL1822932,,CCCCOc1c(OC)ccc2cc(C(=O)NCC(F)c3ccccc3)c(=O)[nH]c12,Ki,9.1,CHEMBL1825306,Displacement of [3H]CP-55940 from human CB2 receptor expressed in human U87 cells after 1 hr by scintillation counting,U-87MG ATCC,FNTMGRNAIKUGDA-UHFFFAOYSA-N,3.0,Unspecified,Unspecified
CHEMBL125395,,COc1ccc2nc3c4c(nccc4c2c1)-c1ncccc1C3=O,IC50,7.16,CHEMBL815875,In vitro cytotoxicity against human glioblastomas cell line U87MG.,U-87MG ATCC,LSUJEFUOJJOYDR-UHFFFAOYSA-N,,Cytotoxicity,Unspecified
CHEMBL1164496,,COc1ccc(-c2nnn(CCCCCCCn3nnc(-c4ccc(OC)c(OC)c4)n3)n2)cc1OC,IC50,4.4,CHEMBL1169033,Anticancer activity against human T98G cells after 24 hrs by MTT assay,T98G,KKLBOXOFXWBVGV-UHFFFAOYSA-N,24.0,Anticancer activity,MTT
CHEMBL1163276,,O=C(OCc1cc(COC(=O)c2ccc(O)c(F)c2)cc(COC(=O)c2ccc(O)c(F)c2)c1)c1ccc(O)c(F)c1,IC50,4.43,CHEMBL1169033,Anticancer activity against human T98G cells after 24 hrs by MTT assay,T98G,FWATVAIBJMWBSG-UHFFFAOYSA-N,24.0,Anticancer activity,MTT
CHEMBL1163275,,COc1cc(C(=O)OCc2cc(COC(=O)c3ccc(O)c(OC)c3)cc(COC(=O)c3ccc(O)c(OC)c3)c2)ccc1O,IC50,4.55,CHEMBL1169033,Anticancer activity against human T98G cells after 24 hrs by MTT assay,T98G,SRTMPHPQVYKQHX-UHFFFAOYSA-N,24.0,Anticancer activity,MTT
CHEMBL1164563,,COc1cc(C(=O)OCCCCCCOC(=O)c2ccc(O)c(OC)c2)ccc1O,IC50,4.25,CHEMBL1169033,Anticancer activity against human T98G cells after 24 hrs by MTT assay,T98G,HMQDKFDLCCFFNU-UHFFFAOYSA-N,24.0,Anticancer activity,MTT
