Molecule ChEMBL ID,Cell Name,Standard Type,Assay,Incubation Time Hours,Property Measured,max,min,mean,median,count
CHEMBL101506,U-87MG ATCC,IC50,CCK-8,48.0,Unspecified,4.05,4.05,4.05,4.05,1
CHEMBL1023,A-172,IC50,Unspecified,,Growth inhibition,4.18,4.18,4.18,4.18,1
CHEMBL1023,SF126,IC50,Unspecified,,Growth inhibition,4.48,4.48,4.48,4.48,1
CHEMBL1023,SF295,IC50,Unspecified,,Growth inhibition,5.29,5.29,5.29,5.29,1
CHEMBL1023,SNB-75,IC50,Unspecified,,Growth inhibition,4.97,4.97,4.97,4.97,1
CHEMBL1023,T98G,IC50,Unspecified,,Growth inhibition,4.39,4.39,4.39,4.39,1
CHEMBL102714,T98G,IC50,Unspecified,,Growth inhibition,4.63,4.63,4.63,4.63,1
CHEMBL102809,SF295,IC50,using SRB,,Cytotoxicity,6.3,6.3,6.3,6.3,1
CHEMBL103577,SF295,IC50,using SRB,,Cytotoxicity,6.6,6.6,6.6,6.6,1
CHEMBL103667,AM-38,IC50,Unspecified,,Growth inhibition,4.48,4.48,4.48,4.48,1
CHEMBL103807,SF295,IC50,using SRB,,Cytotoxicity,6.52,6.52,6.52,6.52,1
CHEMBL1042,U-87MG ATCC,IC50,MTS,72.0,Antiproliferative activity,4.53,4.53,4.53,4.53,1
CHEMBL104264,U-87MG ATCC,IC50,SRB,96.0,Antiproliferative activity,4.82,4.82,4.82,4.82,1
CHEMBL104264,U-87MG ATCC,IC50,SRB,,Growth inhibition,4.82,4.82,4.82,4.82,1
CHEMBL105,A-172,IC50,Unspecified,,Growth inhibition,6.27,6.27,6.27,6.27,1
CHEMBL105,AM-38,IC50,Unspecified,,Growth inhibition,6.66,6.66,6.66,6.66,1
CHEMBL105,KNS-42,IC50,Unspecified,,Growth inhibition,5.96,5.96,5.96,5.96,1
CHEMBL105,SF126,IC50,Unspecified,,Growth inhibition,5.85,5.85,5.85,5.85,1
CHEMBL105,SF295,IC50,MTS,72.0,Cytotoxicity,6.27,6.27,6.27,6.27,1
CHEMBL105,SF295,IC50,Unspecified,,Growth inhibition,7.94,7.94,7.94,7.94,1
CHEMBL105,SNB-75,IC50,Unspecified,,Growth inhibition,6.52,6.52,6.52,6.52,1
CHEMBL105,T98G,IC50,Unspecified,,Growth inhibition,6.28,6.28,6.28,6.28,1
CHEMBL105,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,5.89,5.89,5.89,5.89,1
CHEMBL105442,A-172,IC50,Unspecified,,Growth inhibition,5.19,5.19,5.19,5.19,1
CHEMBL105442,AM-38,IC50,Unspecified,,Growth inhibition,4.82,4.82,4.82,4.82,1
CHEMBL105442,SF126,IC50,Unspecified,,Growth inhibition,4.71,4.71,4.71,4.71,1
CHEMBL105442,SF295,IC50,Unspecified,,Growth inhibition,4.95,4.95,4.95,4.95,1
CHEMBL105442,SNB-75,IC50,Unspecified,,Growth inhibition,4.5,4.5,4.5,4.5,1
CHEMBL105442,T98G,IC50,Unspecified,,Growth inhibition,5.05,5.05,5.05,5.05,1
CHEMBL105442,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,4.82,4.82,4.82,4.82,1
CHEMBL105784,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.22,9.22,9.22,9.22,1
CHEMBL105821,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.7,9.7,9.7,9.7,1
CHEMBL106098,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.25,8.25,8.25,8.25,1
CHEMBL106209,U-87MG ATCC,IC50,Unspecified,,Unspecified,7.92,7.92,7.92,7.92,1
CHEMBL106247,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.0,8.0,8.0,8.0,1
CHEMBL106299,U-87MG ATCC,IC50,Unspecified,,Unspecified,7.64,7.64,7.64,7.64,1
CHEMBL106369,U-87MG ATCC,IC50,Unspecified,,Unspecified,7.58,7.58,7.58,7.58,1
CHEMBL106406,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.05,8.05,8.05,8.05,1
