SMILES,Ennustus
N1C(Nc2cccc3cccc1c23)c1ccc(cc1)C1Nc2cccc3cccc(N1)c23,6.638800000000001
N#Cc1ccc(cc1)C(=C(c1ccccc1)c1ccccc1)c1ccccc1,6.2582
Fc1ccc(Nc2nnc(-c3ccc(OCC#C)cc3)c3ccccc23)cc1,6.189100000000001
Cn1cc(C(c2cn(C)c3ccccc23)c2ccc(OCC#C)cc2)c2ccccc12,6.1649
Fc1ccc(cc1)-c1nn(cc1C1Nc2cccc3cccc(N1)c23)-c1ccccc1,6.1433
CC(C)(C)C1CCc2c(C1)sc1n3C(=O)c4ccccc4-c3nc(=O)c21,6.129899999999999
CC(C)(C)c1ccc(cc1)-c1nnc(N)s1,6.129599999999999
CCCCCc1ccc(cc1)-c1nnc(N)s1,6.0716
Cl.NCC1(CCCCC1)c1cccc2ccccc12,6.0706999999999995
COc1ccc2cccc(c2c1)C1(N)CC1,6.070599999999997
COc1cc(c2ccccc2c1)C1(N)CC1,6.070599999999997
Cc1ccc(cc1C)-c1[nH]ncc1CNC12CC3CC(CC(C3)C1)C2,6.0658999999999965
Cc1cc(C)c(c(C)c1)-c1ccc(cc1)C1(O)CCNCC1,6.0436999999999985
Cc1ccc2[nH]c(=O)c(\C=C3/SC(=S)N(Cc4ccccc4Cl)C3=O)cc2c1,6.043100000000004
CN(C)S(=O)(=O)N1CCC(CC1)c1cccc(c1)-c1cc(C)c(C)cc1C,6.042499999999998
CC(O)(CN)c1ccc(cc1)-c1ccccc1,6.041400000000001
Cl.CC(C)C(N)c1c(O)ccc2ccccc12,6.0385
Cl.CC(C)[C@H](N)c1c(O)ccc2ccccc12,6.0385
Cl.Cc1ccc2n(CC(O)CNC3CCCCC3)c3CCCCc3c2c1,6.037799999999999
Cc1ccc2N(CC(=O)c3ccccc3)C=C(C(C#N)c2c1)c1ccc2cc(C)ccc2n1,6.036200000000001
CC(C)CCn1ccc2c(N)cccc12,6.032099999999999
Cc1cccc2cc(CN(C3CCCC3)C(=O)c3ccc(F)cc3)c(=O)[nH]c12,6.031500000000006
Cl.CCC[C@H](N)c1c(O)ccc2ccccc12,6.031400000000001
Cl.CCCC(N)c1c(O)ccc2ccccc12,6.031400000000001
Cc1ccc2nc(sc2c1)-c1ccc(cc1)N1C(=O)C2CCCCC2C1=O,6.030400000000002
CC(C)CCn1ccc2cc(N)ccc12,6.027299999999999
OC(CNC1CCCC1)Cn1c2CCCCc2c2cccc(Cl)c12,6.024899999999999
O=C1CC(Sc2nc3ccccc3s2)C(=O)N1c1ccc(cc1)-c1ccccc1,6.0218000000000025
CC(N)Cc1csc2ccccc12,6.019399999999999
Cl.COc1cc2CCN[C@@H]3Cc4ccccc4-c(c1OC)c23,6.017599999999999
CC(C)Cn1ccc2c(N)cccc12,6.017199999999999
CC(C)Cn1ccc2cccc(N)c12,6.017199999999999
CC[C@@H]1Cc2cc(O)ccc2C2=C1c1ccc(O)cc1C[C@H]2CC,6.015799999999997
Cl.CC(C)(C)[C@@H](N)c1cccc2ccccc12,6.015499999999999
NC(C1CC1)c1cccc2ccccc12,6.014199999999996
