,nr_tunnused,mse,oob
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.53,0.633
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",7,-0.532,0.633
"('SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.541,0.633
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SpMin1_Bh(v)')",5,-0.537,0.63
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",6,-0.543,0.629
"('SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",5,-0.535,0.628
"('SpDiam_B(e)', 'SdssC', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.523,0.627
"('SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.533,0.624
"('SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)')",4,-0.558,0.624
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)')",5,-0.556,0.623
"('SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",4,-0.578,0.623
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.539,0.622
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO')",4,-0.558,0.622
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",6,-0.554,0.621
"('SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",4,-0.55,0.619
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",5,-0.583,0.619
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.532,0.618
