SMILES,Ennustus
CCCn1c(O)c(-c2ccccc2)c(=O)c2ccccc12,[5.1111]
CSc1cc(nc(c1)-c1ccc(Cl)cn1)-c1ccc(Cl)cn1,[5.0787]
FC(F)Oc1ccc2nc(Cl)sc2c1,[5.579]
CNc1cc(OC)cc(c1)C(F)(F)F,[4.6932]
FC(F)c1nc(Cl)ccc1F,[4.804]
CCN1CCCc2cc(F)ccc12,[4.4974]
CCOc1ccc2nc(Cl)nc(Cl)c2c1,[4.8028]
CCN1CCCc2ccc(cc12)C(F)(F)F,[4.7343]
Nc1cc(ccc1CO)-c1ccccc1,[5.0701]
CCN1CCCc2ccc(cc12)-c1ccccc1,[5.2589]
CCCc1ccc(cc1)C(=O)NC1CCC11CCOCC1,[5.2854]
Clc1ccc(NC(=O)N2CCC(CC2)=C2CC2)cc1Cl,[5.2976]
O=C(Cc1cccc2ccccc12)NC1CCC11CCOCC1,[5.8942]
C=CCCC(=O)N1CCC(CC1)C1CC1,[4.9043]
COc1ccc(Cl)cc1C(=O)N1C2CCC1CC(F)C2,[5.2411]
COc1ccc(CCC(=O)N2C3CCC2CC(F)C3)cc1,[5.1065]
FC1CC2CCC(C1)N2C(=O)c1ccc(F)c(F)c1,[5.3607]
O=C(CCc1ccc(cc1)C#N)N1CCC(CC1)=C1CCC1,[4.9439]
CN(C1CCC1)C(=O)c1cccc(F)c1,[4.6444]
CC(C)(C)NC(=O)N1C2CCC1CC(C2)=C1CC1,[5.2763]
FC1CC2CCC(C1)N2C(=O)Cc1ccccc1Cl,[5.1887]
Cc1cc(CCC(=O)N2C3CCC2CC(F)C3)ccc1F,[5.2893]
FC1CC2CCC(C1)N2C(=O)C12CC3CC(CC(C3)C1)C2,[5.1391]
FC1CC2CCC(C1)N2C(=O)CCc1ccc(cc1)C(F)(F)F,[5.1495]
Fc1ccc(CC(=O)N2CCC(CC2)=C2CCC2)cc1,[4.8636]
FC(F)(F)c1ccccc1C(=O)N1CCC(CC1)=C1CCC1,[5.236]
FC1CC2CCC(C1)N2C(=O)Nc1ccccc1Cl,[5.177]
FC1CC2CCC(C1)N2C(=O)c1cc2ccccc2s1,[6.1537]
FC1(F)CC11CCN(CC1)C(=O)Nc1ccc(Cl)c(Cl)c1,[5.1484]
Fc1ccc(cc1F)S(=O)(=O)N1CCC(CC1)=C1CCC1,[4.9169]
FC1CC2CCC(C1)N2C(=O)C1c2ccccc2Oc2ccccc12,[5.1354]
FC1(F)CC11CCN(CC1)C(=O)NCc1cccc2ccccc12,[5.9401]
FC1CC2CCC(C1)N2C(=O)NC(c1ccccc1)c1ccccc1,[5.1225]
Clc1ccc(NC(=O)NCc2cncc(c2)C2CC2)cc1Cl,[5.207]
C=C1CCC(CC1)NC(=O)NCc1cccc2ccccc12,[5.5992]
CCn1cc(-c2nc(cs2)-c2ccccc2)c(=O)c2cc(F)c(cc12)N1CCCCCC1,[5.1348]
Cc1ccc(CCC(=O)NC2CCC22CCOCC2)cc1F,[5.3679]
CSc1ccc(CCC(=O)NC2CCC22CCOCC2)cc1,[5.3125]
CC(C)Oc1ccc(cc1)C(=O)N1C2CCC1C=CC2,[5.1366]
O=C(CSCc1ccccc1)N1C2CCC1C=CC2,[5.1649]
CC(C)(C)C(=O)N1CCC(CC1)C1CC1,[4.952]
[2H]c1c([2H])c(c([2H])c([2H])c1C(O)=O)C(=C)c1cc2c(cc1C)C(C)(C)CCC2(C)C,[5.2322]
C\C(\C=C\C12OC1(C)CCCC2(C)C)=C/C=C/C(/C)=C\C(O)=O,[4.6277]
Cc1cc(O)c2[C@@H]3OC[C@@]45CCCC(C)(C)[C@@H]4CC[C@](C)(Oc2c1)[C@H]35,[5.0103]
Fc1ccc(cc1)-c1[nH]c(nc1-c1ccncc1)-c1c(F)cccc1F,[5.2416]
Fc1ccc(cc1)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1F,[5.0441]
Cl.[2H][13C]([2H])([2H])C(c1cnc[nH]1)c1cccc(C)c1C,[5.1703]
[2H]C1=C2C([2H])([2H])C[C@H]3[C@@H]4CC[C@@](O)(C#C)[C@@]4(CC)CC[C@@H]3[C@@]2([2H])CC([2H])([2H])C1=O,[5.1758]
