,HallKierAlpha,VSA_EState2,AvgIpc,TPSA,VSA_EState4,SlogP_VSA8,SPS
BCUT2D_MWLOW,-0.530141262986322,0.14616500088166026,0.35305799240626184,-0.31803817728945755,0.06546938769547338,0.36897313582791674,-0.8565742120721956
BCUT2D_CHGLO,-0.34879620115765375,-0.0015769437406017001,0.2078227992390009,-0.3441779971910831,0.22715083419125545,0.3489798838515177,-0.8249742420388164
BertzCT,-0.8116005434960213,0.49951657223622037,0.3082684549357279,0.4995369370856005,-0.2560741003501438,0.5968941001855209,-0.03853853775532766
PEOE_VSA1,-0.09957446922479037,0.1444767326128559,-0.2530462488506258,0.8894650285388401,-0.2988799751215689,-0.13303731414353226,0.5520439107807363
PEOE_VSA10,0.13642844400299087,-0.03160882676178849,-0.4288845318540729,0.8049166087223727,-0.11349263047621266,-0.18664201964739768,0.4830891533688498
SMR_VSA1,-0.07675108955625541,0.1415166398756573,-0.27705898989406275,0.8261568758883774,-0.5474992460302414,-0.1761456919840415,0.5660695974527776
SMR_VSA4,0.4616575644556742,-0.09137836618938779,-0.27998221399915174,0.4971645682986563,-0.11201737658556526,-0.3719958469516488,0.9092876438537218
SMR_VSA5,0.35866460847799225,0.006466300219505093,-0.3634827643637489,0.7105758528280284,-0.2694235960008291,-0.36130518367352754,0.8459785952989417
SMR_VSA7,-0.8193924422158304,0.3653626747147589,0.3294264421745358,-0.16830487743643838,0.02086962559058252,0.6060947018055436,-0.6043580941095313
SlogP_VSA1,-0.8062311745739188,0.4900681416287504,0.42982266121817814,0.19870154085739924,-0.13723999831274772,0.30397619182815316,-0.302402567919769
SlogP_VSA2,-0.10915197487911148,0.21755152668310596,-0.19288638845000508,0.8918676458652681,-0.32802978247330067,-0.028673170705537973,0.5019809122733535
SlogP_VSA6,-0.8057265790480028,0.3163778239357544,0.3358195269145414,-0.1407381761067414,0.09895958573789429,0.662860767321557,-0.5798659641968137
EState_VSA1,0.040674882909171414,0.15528861424359403,-0.3721173191510033,0.8805467619550962,-0.45153319784221685,-0.18965608935361744,0.5956985385713607
VSA_EState3,0.3003411120250791,-0.14766891534909415,-0.48271172605277346,0.8221924930840175,-0.1677402798129401,-0.3026572417048848,0.6626330484794527
FractionCSP3,0.4600782423621618,-0.0326468321239585,-0.1923831238255465,0.41522742451013445,-0.2705505248229843,-0.4329209889229913,0.8115994862696096
NHOHCount,0.18606140844481686,0.035823342048407744,-0.4085642525770311,0.8895784221702685,-0.09557311835949331,-0.25790919282437313,0.6081685949776152
NOCount,-0.37927369912497866,0.38991225451817446,-0.006163014050184342,0.9354253353529773,-0.3106316222981302,0.04665528392136377,0.30742553812817547
NumAliphaticCarbocycles,0.4402351296039637,-0.03163651012678779,-0.28102025288274624,0.4988306525445684,-0.18052499995120055,-0.37523560306415754,0.9207027673023144
NumAliphaticRings,0.298891153664726,0.04199486307647508,-0.2953560942351023,0.6712183195400514,-0.25130474009774834,-0.32918153977363557,0.9173504226707521
NumAromaticRings,-0.8591942550345751,0.2881268603785865,0.5328187132424138,-0.10883846977403094,0.06916177420679884,0.8220749390158589,-0.6061426569755316
NumAtomStereoCenters,0.4078270567669974,-0.09747963619981938,-0.46730306150436074,0.7590137197833284,-0.2156853346104393,-0.3587091522283013,0.8492501606399852
NumHAcceptors,-0.2340326982940583,0.21425418111582223,-0.14986259443057848,0.9203937818815066,-0.30116842049786474,-0.009459572121499484,0.4289409464566083
NumHDonors,0.17886579065088257,0.03952823567845946,-0.39933449159234985,0.8927160199941021,-0.1304855567925234,-0.24829218978145298,0.609907825875918
NumHeteroatoms,-0.4643467762335052,0.35473385103874794,0.07731507568087095,0.8099930507616562,-0.455819803703872,0.15230720159627414,0.20585166412235564
NumSaturatedCarbocycles,0.43541157838638817,-0.05152342834285484,-0.2881801550523468,0.4840418398485355,-0.17392720565729627,-0.3508070370654821,0.910322859907123
NumSaturatedRings,0.2261939159882303,0.04911366010673186,-0.2858600785335943,0.6770542860249129,-0.3055454744299453,-0.24099086936245626,0.8804155378739379
fr_Al_OH,0.30743682407592854,-0.11685974046083095,-0.4978195111741586,0.8120826065854286,-0.2077006598346997,-0.2487165121558079,0.7044375420796627
fr_Al_OH_noTert,0.3011165813743001,-0.11430800867180167,-0.5061610755410688,0.8142730531875841,-0.20928552985377652,-0.24751342669651683,0.6974481482729821
fr_C_O,-0.2549199505134637,0.8217932974394507,0.06358625432913069,0.2702682749285651,-0.23012047053067128,-0.183494756540542,0.04869357258072311
fr_C_O_noCOO,-0.30340103848607186,0.8236396441574917,0.08200583730601636,0.21991621756117496,-0.21989970044110904,-0.14767485563241747,-0.05952945645535196
