SMILES,Ennustus
CC1CN(CC(C)O1)C(=O)c1sc2cc(F)ccc2c1Cl,6.3096
CC1CN(CC(C)O1)C(=O)c1sc2cccc(F)c2c1Cl,6.2994
O=C1C2C(C3C=CC2C2CC32)C(=O)N1c1cccc2ccccc12,6.2332
CC1CCC2C(C1)C(=O)N(C2=O)c1cccc2ccccc12,6.2198
CC1=C(C)CC2C(C1)C(=O)N(C2=O)c1ccc2ccccc2c1,6.2198
CC1=C(C)CC2C(C1)C(=O)N(C2=O)c1cccc2ccccc12,6.2198
O=C1C2CCCCC2C(=O)N1c1cccc2ccccc12,6.2198
CC1C=CCC2C1C(=O)N(C2=O)c1ccc2ccccc2c1,6.2198
CC1C=CCC2C1C(=O)N(C2=O)c1cccc2ccccc12,6.218
Fc1ccc2sc(cc2c1)C(=O)N1CCC(C1)OCC1CC1,6.2179
ClC1=CCC2C(C1)C(=O)N(C2=O)c1ccc2ccccc2c1,6.2091
O=C1C2C(C3C=CC2C32CC2)C(=O)N1c1ccc2ccccc2c1,6.2086
CC12C3CC(C=C3)C1C(=O)N(C2=O)c1cccc2ccccc12,6.2086
O=C1C2C(C3C=CC2C32CC2)C(=O)N1c1cccc2ccccc12,6.2086
[2H]C([2H])([2H])C(C(O)=O)c1ccc(C2CCCCC2)c2ccccc12,6.2051
O=C1C2C(C3CCC2C=C3)C(=O)N1c1cccc2ccccc12,6.2025
FC1CC2CCC(C1)N2S(=O)(=O)c1cccc2ccccc12,6.1988
Cc1sc2ccccc2c1C(=O)N1CCC(F)(F)CC1,6.1978
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)N(C2=O)c1cccc2ccccc12,6.1963
CC1(C)C2CCC1(C)C(=O)N(C2=O)c1cccc2ccccc12,6.1963
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,6.1957
C[C@]12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,6.1957
CC12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,6.1957
Fc1ccc2c(Cl)c(sc2c1)C(=O)Nc1ccc(cc1)N1CCOCC1,6.1949
C[C@H]1C[C@H]2CN(CC[C@H]2O1)C(=O)c1ccc(F)c2ccccc12,6.1948
C[C@H]1C[C@H]2CN(CC[C@@H]2O1)C(=O)c1ccc(F)c2ccccc12,6.1948
C=C1CC2CCC(C1)N2S(=O)(=O)c1cccc2ccccc12,6.1948
COCC1(F)CCN(Cc2cccc3ccccc23)C1,6.1913
FC1(F)CC11CCN(CC1)C(=O)c1cc2ccccc2s1,6.191
CC(C)=C1C2C=CC1C1C2C(=O)N(C1=O)c1cccc2ccccc12,6.1905
O=C1C2C3CCC(C3)C2C(=O)N1c1cccc2ccccc12,6.1905
O=C1C2C3CCC(C3)C2C(=O)N1c1ccc2ccccc2c1,6.1905
O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1c1cccc2ccccc12,6.1905
O=C1C2C3CC(C(C3)c3ccccc3)C2C(=O)N1c1cccc2ccccc12,6.1902
O=C1C2C(C3c4ccccc4C2c2cccc4cccc3c24)C(=O)N1c1ccccc1,6.1879
CC1=CC2CC1C1C2C(=O)N(C1=O)c1cccc2ccccc12,6.1853
O=C(C1CCCCC1)N1C(=O)c2cccc3cccc1c23,6.184
CC(=O)c1ccc(s1)-c1ccc(cc1)C(=O)N1C[C@H]2CCC[C@H](C2)C1,6.1824
O[C@@]1(c2cccc3cccc(c23)[C@]1(O)c1ccccc1)c1ccccc1,6.1813
ClC12C3C(C(c4ccccc14)c1ccccc21)C(=O)N(C3=O)c1cccc2ccccc12,6.1783
OC(=O)[C@@H]1C[C@H]1c1cccc2ccccc12,6.1783
O=C1C2C(C3c4ccccc4C2c2ccccc32)C(=O)N1c1ccc2ccccc2c1,6.1783
O=C1C2C(C3c4ccccc4C2c2ccccc32)C(=O)N1c1cccc2ccccc12,6.1783
OC(=O)[C@H]1C[C@@H]1c1cccc2ccccc12,6.1783
OC(=O)[C@@H]1C[C@@H]1c1ccc2ccccc2c1,6.1783
