,nr_tunnused,mse,oob
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",9,-0.19,0.6659133675478149
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.19,0.654
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.187,0.651
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'AvgIpc')",5,-0.186,0.649
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.192,0.647
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",8,-0.205,0.644
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.191,0.643
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.203,0.643
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.206,0.642
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",8,-0.211,0.642
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI')",4,-0.195,0.64
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",8,-0.209,0.64
