,nr_tunnused,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",7,-0.191,0.651
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.196,0.647
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",8,-0.199,0.647
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.197,0.644
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",8,-0.201,0.643
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",6,-0.19,0.641
"('AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.204,0.641
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",6,-0.189,0.637
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.202,0.637
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.195,0.635
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.203,0.635
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.195,0.634
"('AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",5,-0.199,0.634
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",7,-0.201,0.634
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",8,-0.204,0.634
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",7,-0.205,0.633
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.214,0.633
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",7,-0.196,0.632
"('AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",6,-0.203,0.632
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",8,-0.207,0.632
"('AvgIpc', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.193,0.631
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",6,-0.198,0.631
