mse,r2,oob,tunnuste_arv,tunnused
-0.195,0.9500609286499022,0.638,141,"['MaxAbsEStateIndex', 'MinAbsEStateIndex', 'MinEStateIndex', 'qed', 'SPS', 'MolWt', 'NumRadicalElectrons', 'MaxPartialCharge', 'MinPartialCharge', 'FpDensityMorgan1', 'BCUT2D_MWHI', 'BCUT2D_CHGHI', 'BCUT2D_CHGLO', 'BCUT2D_LOGPHI', 'BCUT2D_LOGPLOW', 'BCUT2D_MRHI', 'BCUT2D_MRLOW', 'AvgIpc', 'BalabanJ', 'HallKierAlpha', 'Ipc', 'PEOE_VSA1', 'PEOE_VSA10', 'PEOE_VSA11', 'PEOE_VSA12', 'PEOE_VSA13', 'PEOE_VSA14', 'PEOE_VSA2', 'PEOE_VSA3', 'PEOE_VSA4', 'PEOE_VSA5', 'PEOE_VSA6', 'PEOE_VSA7', 'PEOE_VSA8', 'PEOE_VSA9', 'SMR_VSA10', 'SMR_VSA2', 'SMR_VSA3', 'SMR_VSA6', 'SMR_VSA7', 'SMR_VSA8', 'SMR_VSA9', 'SlogP_VSA1', 'SlogP_VSA10', 'SlogP_VSA12', 'SlogP_VSA3', 'SlogP_VSA4', 'SlogP_VSA7', 'SlogP_VSA8', 'SlogP_VSA9', 'EState_VSA11', 'EState_VSA2', 'EState_VSA3', 'EState_VSA4', 'EState_VSA5', 'EState_VSA6', 'EState_VSA7', 'EState_VSA8', 'EState_VSA9', 'VSA_EState1', 'VSA_EState2', 'VSA_EState4', 'VSA_EState5', 'VSA_EState7', 'VSA_EState8', 'VSA_EState9', 'NumAliphaticHeterocycles', 'NumAmideBonds', 'NumAromaticHeterocycles', 'NumBridgeheadAtoms', 'NumHeterocycles', 'NumSpiroAtoms', 'NumUnspecifiedAtomStereoCenters', 'MolLogP', 'fr_Al_COO', 'fr_ArN', 'fr_Ar_COO', 'fr_Ar_NH', 'fr_Ar_OH', 'fr_C_O', 'fr_C_S', 'fr_HOCCN', 'fr_Imine', 'fr_NH1', 'fr_NH2', 'fr_N_O', 'fr_Ndealkylation1', 'fr_Ndealkylation2', 'fr_SH', 'fr_aldehyde', 'fr_alkyl_carbamate', 'fr_alkyl_halide', 'fr_allylic_oxid', 'fr_amidine', 'fr_aniline', 'fr_aryl_methyl', 'fr_azide', 'fr_azo', 'fr_barbitur', 'fr_benzodiazepine', 'fr_bicyclic', 'fr_diazo', 'fr_dihydropyridine', 'fr_epoxide', 'fr_ester', 'fr_furan', 'fr_halogen', 'fr_hdrzine', 'fr_hdrzone', 'fr_imidazole', 'fr_isocyan', 'fr_isothiocyan', 'fr_ketone', 'fr_ketone_Topliss', 'fr_lactam', 'fr_lactone', 'fr_methoxy', 'fr_morpholine', 'fr_nitro', 'fr_nitroso', 'fr_oxazole', 'fr_oxime', 'fr_para_hydroxylation', 'fr_phos_acid', 'fr_phos_ester', 'fr_piperdine', 'fr_piperzine', 'fr_priamide', 'fr_prisulfonamd', 'fr_pyridine', 'fr_quatN', 'fr_sulfide', 'fr_sulfonamd', 'fr_sulfone', 'fr_term_acetylene', 'fr_tetrazole', 'fr_thiazole', 'fr_thiocyan', 'fr_thiophene', 'fr_unbrch_alkane', 'fr_urea']"
-0.194,0.9501956719380131,0.64,126,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'NumAmideBonds', 'fr_NH2', 'SPS', 'EState_VSA4', 'SMR_VSA10', 'qed', 'PEOE_VSA8', 'FpDensityMorgan1', 'VSA_EState9', 'BCUT2D_MRHI', 'MolWt', 'MinAbsEStateIndex', 'PEOE_VSA2', 'PEOE_VSA7', 'Ipc', 'VSA_EState5', 'BCUT2D_MRLOW', 'MolLogP', 'BCUT2D_LOGPLOW', 'EState_VSA7', 'VSA_EState7', 'SMR_VSA7', 'BCUT2D_LOGPHI', 'PEOE_VSA3', 'BCUT2D_CHGLO', 'MaxAbsEStateIndex', 'PEOE_VSA9', 'BalabanJ', 'EState_VSA3', 'SlogP_VSA1', 'EState_VSA5', 'VSA_EState8', 'EState_VSA6', 'MinPartialCharge', 'PEOE_VSA10', 'PEOE_VSA6', 'MinEStateIndex', 'MaxPartialCharge', 'fr_NH1', 'fr_aryl_methyl', 'BCUT2D_CHGHI', 'SMR_VSA6', 'EState_VSA8', 'BCUT2D_MWHI', 'SlogP_VSA10', 'fr_ketone_Topliss', 'fr_pyridine', 'fr_allylic_oxid', 'NumAromaticHeterocycles', 'EState_VSA2', 'SMR_VSA9', 'SlogP_VSA3', 'PEOE_VSA13', 'PEOE_VSA1', 'SlogP_VSA4', 'fr_hdrzone', 'NumHeterocycles', 'EState_VSA9', 'PEOE_VSA11', 'fr_halogen', 'fr_Ndealkylation1', 'PEOE_VSA12', 'fr_piperdine', 'fr_methoxy', 'SMR_VSA2', 'fr_Ndealkylation2', 'fr_furan', 'fr_urea', 'NumAliphaticHeterocycles', 'PEOE_VSA4', 'PEOE_VSA14', 'fr_para_hydroxylation', 'fr_C_O', 'EState_VSA11', 'NumUnspecifiedAtomStereoCenters', 'PEOE_VSA5', 'fr_bicyclic', 'fr_sulfonamd', 'fr_ester', 'fr_Ar_NH', 'fr_morpholine', 'SlogP_VSA12', 'fr_Ar_OH', 'fr_ketone', 'SlogP_VSA7', 'fr_unbrch_alkane', 'fr_thiazole', 'fr_ArN', 'fr_aniline', 'fr_alkyl_halide', 'fr_nitro', 'fr_piperzine', 'fr_term_acetylene', 'fr_lactone', 'fr_imidazole', 'fr_Al_COO', 'fr_HOCCN', 'fr_barbitur', 'fr_sulfide', 'fr_N_O', 'fr_thiophene', 'NumBridgeheadAtoms', 'fr_dihydropyridine', 'NumRadicalElectrons', 'SlogP_VSA9', 'SMR_VSA8', 'fr_Ar_COO', 'NumSpiroAtoms', 'fr_diazo', 'fr_benzodiazepine', 'fr_Imine', 'fr_SH', 'fr_alkyl_carbamate', 'fr_C_S', 'fr_azide', 'fr_amidine', 'fr_azo', 'fr_aldehyde', 'fr_hdrzine']"
-0.197,0.9522987156731605,0.655,113,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'NumAmideBonds', 'SPS', 'PEOE_VSA8', 'VSA_EState9', 'FpDensityMorgan1', 'EState_VSA4', 'BCUT2D_MRHI', 'SMR_VSA10', 'Ipc', 'PEOE_VSA7', 'qed', 'PEOE_VSA2', 'MinAbsEStateIndex', 'MolLogP', 'MolWt', 'BCUT2D_MRLOW', 'VSA_EState5', 'MaxAbsEStateIndex', 'BCUT2D_LOGPLOW', 'PEOE_VSA9', 'EState_VSA7', 'SMR_VSA7', 'BCUT2D_CHGLO', 'SlogP_VSA1', 'VSA_EState7', 'EState_VSA3', 'MinPartialCharge', 'BalabanJ', 'EState_VSA5', 'PEOE_VSA3', 'MinEStateIndex', 'BCUT2D_LOGPHI', 'PEOE_VSA6', 'VSA_EState8', 'EState_VSA6', 'PEOE_VSA10', 'fr_NH1', 'BCUT2D_CHGHI', 'EState_VSA8', 'fr_aryl_methyl', 'fr_pyridine', 'SlogP_VSA3', 'BCUT2D_MWHI', 'MaxPartialCharge', 'SMR_VSA6', 'EState_VSA2', 'SlogP_VSA10', 'fr_ketone_Topliss', 'EState_VSA9', 'PEOE_VSA13', 'SMR_VSA9', 'SlogP_VSA4', 'PEOE_VSA1', 'fr_hdrzone', 'NumHeterocycles', 'PEOE_VSA11', 'fr_piperdine', 'fr_Ndealkylation1', 'NumAromaticHeterocycles', 'PEOE_VSA12', 'fr_halogen', 'fr_methoxy', 'SMR_VSA2', 'fr_allylic_oxid', 'fr_furan', 'NumAliphaticHeterocycles', 'fr_Ndealkylation2', 'PEOE_VSA4', 'fr_bicyclic', 'fr_ArN', 'fr_para_hydroxylation', 'PEOE_VSA14', 'fr_Ar_OH', 'fr_C_O', 'fr_sulfonamd', 'PEOE_VSA5', 'NumUnspecifiedAtomStereoCenters', 'fr_ester', 'fr_ketone', 'fr_alkyl_halide', 'fr_morpholine', 'SlogP_VSA7', 'SlogP_VSA12', 'fr_thiazole', 'fr_aniline', 'fr_Ar_NH', 'fr_unbrch_alkane', 'NumBridgeheadAtoms', 'fr_urea', 'fr_nitro', 'fr_imidazole', 'fr_piperzine', 'fr_sulfide', 'fr_Al_COO', 'EState_VSA11', 'fr_barbitur', 'fr_thiophene', 'NumSpiroAtoms', 'fr_lactone', 'fr_dihydropyridine', 'fr_HOCCN', 'fr_term_acetylene', 'fr_N_O', 'NumRadicalElectrons', 'SMR_VSA8']"
-0.195,0.951512493589234,0.65,101,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'NumAmideBonds', 'SPS', 'PEOE_VSA8', 'VSA_EState9', 'EState_VSA4', 'FpDensityMorgan1', 'qed', 'BCUT2D_MRHI', 'MolWt', 'SMR_VSA10', 'PEOE_VSA2', 'MinAbsEStateIndex', 'Ipc', 'PEOE_VSA7', 'MolLogP', 'BCUT2D_MRLOW', 'BalabanJ', 'BCUT2D_CHGLO', 'VSA_EState5', 'SMR_VSA7', 'BCUT2D_LOGPHI', 'BCUT2D_LOGPLOW', 'EState_VSA7', 'PEOE_VSA3', 'VSA_EState7', 'PEOE_VSA9', 'MaxAbsEStateIndex', 'EState_VSA5', 'SlogP_VSA1', 'EState_VSA3', 'MinEStateIndex', 'VSA_EState8', 'fr_NH1', 'EState_VSA6', 'PEOE_VSA6', 'MinPartialCharge', 'BCUT2D_MWHI', 'BCUT2D_CHGHI', 'fr_aryl_methyl', 'MaxPartialCharge', 'PEOE_VSA10', 'EState_VSA8', 'SMR_VSA6', 'SlogP_VSA10', 'fr_ketone_Topliss', 'EState_VSA2', 'fr_pyridine', 'fr_allylic_oxid', 'PEOE_VSA1', 'SMR_VSA9', 'SlogP_VSA3', 'EState_VSA9', 'PEOE_VSA13', 'NumAromaticHeterocycles', 'fr_piperdine', 'fr_halogen', 'PEOE_VSA12', 'NumHeterocycles', 'SlogP_VSA4', 'fr_hdrzone', 'fr_Ndealkylation1', 'fr_bicyclic', 'PEOE_VSA11', 'SMR_VSA2', 'fr_methoxy', 'fr_furan', 'PEOE_VSA4', 'fr_Ndealkylation2', 'PEOE_VSA14', 'fr_ester', 'NumAliphaticHeterocycles', 'fr_Ar_OH', 'NumUnspecifiedAtomStereoCenters', 'fr_HOCCN', 'fr_para_hydroxylation', 'PEOE_VSA5', 'fr_C_O', 'SlogP_VSA12', 'fr_Ar_NH', 'fr_urea', 'fr_ketone', 'fr_morpholine', 'fr_unbrch_alkane', 'fr_alkyl_halide', 'fr_thiazole', 'fr_thiophene', 'SlogP_VSA7', 'fr_sulfonamd', 'fr_aniline', 'fr_imidazole', 'NumBridgeheadAtoms', 'fr_nitro', 'fr_barbitur']"
-0.195,0.9522519380590106,0.656,90,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'fr_NH2', 'VSA_EState4', 'NumAmideBonds', 'SPS', 'qed', 'EState_VSA4', 'PEOE_VSA8', 'VSA_EState9', 'BCUT2D_MRHI', 'FpDensityMorgan1', 'Ipc', 'MinAbsEStateIndex', 'PEOE_VSA2', 'PEOE_VSA7', 'MolWt', 'BalabanJ', 'SMR_VSA10', 'MolLogP', 'BCUT2D_MRLOW', 'PEOE_VSA3', 'BCUT2D_CHGLO', 'SMR_VSA7', 'MaxAbsEStateIndex', 'EState_VSA7', 'BCUT2D_LOGPLOW', 'VSA_EState7', 'BCUT2D_LOGPHI', 'VSA_EState5', 'SlogP_VSA1', 'PEOE_VSA9', 'EState_VSA5', 'EState_VSA3', 'MinEStateIndex', 'VSA_EState8', 'EState_VSA6', 'MinPartialCharge', 'PEOE_VSA10', 'PEOE_VSA6', 'BCUT2D_CHGHI', 'MaxPartialCharge', 'fr_NH1', 'fr_aryl_methyl', 'EState_VSA8', 'SMR_VSA6', 'BCUT2D_MWHI', 'EState_VSA2', 'SlogP_VSA10', 'fr_pyridine', 'fr_ketone_Topliss', 'PEOE_VSA13', 'SlogP_VSA3', 'EState_VSA9', 'PEOE_VSA1', 'SMR_VSA9', 'fr_allylic_oxid', 'SlogP_VSA4', 'fr_Ndealkylation1', 'NumHeterocycles', 'fr_hdrzone', 'PEOE_VSA11', 'fr_piperdine', 'fr_halogen', 'NumAromaticHeterocycles', 'PEOE_VSA12', 'SMR_VSA2', 'fr_methoxy', 'fr_C_O', 'NumAliphaticHeterocycles', 'PEOE_VSA4', 'fr_furan', 'fr_Ndealkylation2', 'fr_bicyclic', 'PEOE_VSA14', 'fr_para_hydroxylation', 'fr_ester', 'fr_Ar_OH', 'PEOE_VSA5', 'fr_urea', 'SlogP_VSA12', 'fr_morpholine', 'NumUnspecifiedAtomStereoCenters', 'fr_thiophene', 'SlogP_VSA7', 'fr_thiazole']"
-0.193,0.9521204853032303,0.653,81,"['HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'NumAmideBonds', 'fr_NH2', 'SPS', 'VSA_EState9', 'EState_VSA4', 'PEOE_VSA8', 'FpDensityMorgan1', 'BCUT2D_MRHI', 'MolWt', 'BalabanJ', 'SMR_VSA10', 'PEOE_VSA2', 'PEOE_VSA7', 'qed', 'VSA_EState5', 'MinAbsEStateIndex', 'Ipc', 'MolLogP', 'BCUT2D_MRLOW', 'BCUT2D_LOGPLOW', 'BCUT2D_LOGPHI', 'EState_VSA7', 'SMR_VSA7', 'VSA_EState7', 'PEOE_VSA3', 'BCUT2D_CHGLO', 'EState_VSA3', 'PEOE_VSA9', 'MaxAbsEStateIndex', 'SlogP_VSA1', 'BCUT2D_CHGHI', 'EState_VSA5', 'VSA_EState8', 'MinEStateIndex', 'MinPartialCharge', 'EState_VSA6', 'PEOE_VSA6', 'PEOE_VSA10', 'SMR_VSA6', 'fr_aryl_methyl', 'MaxPartialCharge', 'EState_VSA8', 'BCUT2D_MWHI', 'fr_allylic_oxid', 'fr_pyridine', 'SlogP_VSA10', 'EState_VSA2', 'fr_ketone_Topliss', 'SlogP_VSA3', 'fr_NH1', 'PEOE_VSA13', 'EState_VSA9', 'SMR_VSA9', 'PEOE_VSA1', 'NumHeterocycles', 'fr_hdrzone', 'fr_piperdine', 'fr_halogen', 'fr_Ndealkylation1', 'NumAliphaticHeterocycles', 'SlogP_VSA4', 'fr_methoxy', 'PEOE_VSA12', 'PEOE_VSA11', 'NumAromaticHeterocycles', 'SMR_VSA2', 'fr_furan', 'PEOE_VSA4', 'PEOE_VSA14', 'fr_Ndealkylation2', 'fr_Ar_OH', 'fr_C_O', 'PEOE_VSA5', 'fr_urea']"
-0.195,0.9506505228781702,0.643,72,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'NumAmideBonds', 'fr_NH2', 'SPS', 'EState_VSA4', 'PEOE_VSA8', 'MolWt', 'FpDensityMorgan1', 'VSA_EState9', 'qed', 'BCUT2D_MRHI', 'PEOE_VSA7', 'PEOE_VSA2', 'SMR_VSA10', 'Ipc', 'MinAbsEStateIndex', 'BCUT2D_MRLOW', 'VSA_EState5', 'MolLogP', 'PEOE_VSA3', 'BCUT2D_LOGPLOW', 'EState_VSA7', 'BCUT2D_CHGLO', 'SMR_VSA7', 'VSA_EState7', 'MaxAbsEStateIndex', 'EState_VSA5', 'BalabanJ', 'PEOE_VSA9', 'fr_NH1', 'BCUT2D_LOGPHI', 'SlogP_VSA1', 'MinEStateIndex', 'EState_VSA3', 'MaxPartialCharge', 'MinPartialCharge', 'VSA_EState8', 'EState_VSA6', 'fr_aryl_methyl', 'BCUT2D_CHGHI', 'PEOE_VSA6', 'EState_VSA8', 'PEOE_VSA10', 'SMR_VSA6', 'BCUT2D_MWHI', 'SlogP_VSA10', 'EState_VSA2', 'fr_pyridine', 'SlogP_VSA3', 'fr_ketone_Topliss', 'fr_allylic_oxid', 'PEOE_VSA1', 'PEOE_VSA13', 'EState_VSA9', 'NumHeterocycles', 'SMR_VSA9', 'fr_piperdine', 'PEOE_VSA4', 'fr_hdrzone', 'fr_Ndealkylation1', 'SlogP_VSA4', 'PEOE_VSA12', 'fr_halogen', 'SMR_VSA2', 'NumAromaticHeterocycles', 'PEOE_VSA11']"
-0.192,0.9504051116501497,0.642,64,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'NumAmideBonds', 'fr_NH2', 'SPS', 'qed', 'EState_VSA4', 'PEOE_VSA8', 'FpDensityMorgan1', 'VSA_EState9', 'BCUT2D_MRHI', 'PEOE_VSA7', 'SMR_VSA10', 'MolWt', 'PEOE_VSA2', 'BalabanJ', 'MinAbsEStateIndex', 'MolLogP', 'Ipc', 'BCUT2D_LOGPLOW', 'BCUT2D_MRLOW', 'BCUT2D_CHGLO', 'SMR_VSA7', 'EState_VSA7', 'VSA_EState5', 'BCUT2D_LOGPHI', 'MaxAbsEStateIndex', 'VSA_EState7', 'PEOE_VSA9', 'PEOE_VSA3', 'EState_VSA3', 'VSA_EState8', 'MinEStateIndex', 'SlogP_VSA1', 'MinPartialCharge', 'EState_VSA5', 'EState_VSA6', 'PEOE_VSA6', 'BCUT2D_CHGHI', 'SlogP_VSA10', 'MaxPartialCharge', 'PEOE_VSA10', 'fr_aryl_methyl', 'BCUT2D_MWHI', 'SMR_VSA6', 'EState_VSA8', 'fr_pyridine', 'fr_ketone_Topliss', 'PEOE_VSA1', 'fr_NH1', 'fr_allylic_oxid', 'PEOE_VSA13', 'EState_VSA2', 'SlogP_VSA3', 'PEOE_VSA12', 'EState_VSA9', 'SlogP_VSA4', 'SMR_VSA9', 'fr_hdrzone']"
-0.194,0.951414207537153,0.649,57,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'NumAmideBonds', 'SPS', 'qed', 'VSA_EState9', 'FpDensityMorgan1', 'EState_VSA4', 'PEOE_VSA8', 'BCUT2D_MRHI', 'MolWt', 'PEOE_VSA2', 'PEOE_VSA7', 'MinAbsEStateIndex', 'Ipc', 'SMR_VSA10', 'PEOE_VSA3', 'BCUT2D_MRLOW', 'MolLogP', 'BCUT2D_CHGLO', 'BCUT2D_LOGPLOW', 'VSA_EState5', 'MinEStateIndex', 'SMR_VSA7', 'VSA_EState7', 'BalabanJ', 'MaxAbsEStateIndex', 'EState_VSA7', 'BCUT2D_LOGPHI', 'PEOE_VSA9', 'EState_VSA3', 'SlogP_VSA1', 'VSA_EState8', 'MinPartialCharge', 'EState_VSA5', 'EState_VSA6', 'PEOE_VSA6', 'MaxPartialCharge', 'BCUT2D_CHGHI', 'PEOE_VSA10', 'SMR_VSA6', 'fr_aryl_methyl', 'SlogP_VSA10', 'BCUT2D_MWHI', 'EState_VSA8', 'fr_pyridine', 'fr_ketone_Topliss', 'EState_VSA2', 'PEOE_VSA13', 'SlogP_VSA3', 'EState_VSA9']"
-0.196,0.9504690978547646,0.638,51,"['HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'NumAmideBonds', 'qed', 'SPS', 'VSA_EState9', 'EState_VSA4', 'BCUT2D_MRHI', 'FpDensityMorgan1', 'SMR_VSA10', 'PEOE_VSA8', 'BalabanJ', 'MolWt', 'PEOE_VSA7', 'PEOE_VSA2', 'MinAbsEStateIndex', 'PEOE_VSA3', 'Ipc', 'BCUT2D_MRLOW', 'MolLogP', 'BCUT2D_LOGPHI', 'VSA_EState5', 'SMR_VSA7', 'BCUT2D_CHGLO', 'EState_VSA7', 'MaxAbsEStateIndex', 'BCUT2D_LOGPLOW', 'VSA_EState7', 'PEOE_VSA9', 'MinEStateIndex', 'EState_VSA3', 'EState_VSA5', 'BCUT2D_CHGHI', 'SlogP_VSA1', 'VSA_EState8', 'MinPartialCharge', 'PEOE_VSA6', 'MaxPartialCharge', 'EState_VSA6', 'PEOE_VSA10', 'SMR_VSA6', 'fr_aryl_methyl', 'BCUT2D_MWHI', 'SlogP_VSA10', 'fr_pyridine']"
