,nr_tunnused,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",7,-0.191,0.651
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",8,-0.199,0.651
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",7,-0.195,0.645
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",8,-0.201,0.645
"('AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.203,0.644
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.197,0.642
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",6,-0.19,0.641
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",7,-0.199,0.639
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.198,0.638
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",6,-0.189,0.637
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.202,0.637
"('AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.2,0.636
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.195,0.635
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.212,0.635
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.201,0.634
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",6,-0.215,0.634
"('AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.193,0.633
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.198,0.633
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.203,0.633
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",8,-0.208,0.633
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.21,0.633
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",9,-0.21,0.632569390974112
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",7,-0.196,0.632
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.2,0.632
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",8,-0.207,0.632
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS')",6,-0.198,0.631
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",6,-0.199,0.63
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",7,-0.206,0.63
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",6,-0.209,0.63
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.219,0.63
"('AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.233,0.63
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.195,0.629
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.197,0.629
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",7,-0.21,0.629
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",8,-0.213,0.629
"('AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.227,0.629
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.203,0.628
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'SPS')",5,-0.205,0.628
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.204,0.627
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.21,0.627
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.222,0.627
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",6,-0.207,0.626
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.208,0.626
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",8,-0.209,0.625
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS', 'VSA_EState1')",6,-0.213,0.625
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS', 'VSA_EState1')",7,-0.213,0.625
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.215,0.625
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",7,-0.212,0.624
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",5,-0.22,0.624
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SPS')",5,-0.19,0.623
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.198,0.623
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",5,-0.2,0.623
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.201,0.623
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",6,-0.209,0.623
"('AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",5,-0.215,0.623
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS')",5,-0.187,0.622
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.19,0.622
"('AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",5,-0.235,0.622
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",5,-0.195,0.621
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",7,-0.211,0.621
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",7,-0.196,0.62
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.208,0.62
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",5,-0.209,0.62
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.222,0.62
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",6,-0.223,0.62
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.19,0.619
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.2,0.619
"('SMR_VSA3', 'SlogP_VSA8')",2,-0.203,0.619
"('HallKierAlpha', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.21,0.619
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",6,-0.222,0.619
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS')",5,-0.195,0.618
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.202,0.618
"('HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.203,0.618
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.208,0.618
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.216,0.618
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",8,-0.224,0.618
"('HallKierAlpha', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",5,-0.225,0.618
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",6,-0.201,0.617
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",5,-0.206,0.617
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",6,-0.212,0.617
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SPS')",4,-0.185,0.616
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.198,0.616
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.203,0.615
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",8,-0.215,0.615
"('TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",4,-0.184,0.614
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SPS')",4,-0.193,0.614
"('AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS')",4,-0.194,0.614
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8')",5,-0.212,0.614
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.2,0.613
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",7,-0.209,0.613
"('VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.216,0.613
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS')",6,-0.211,0.612
"('VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",5,-0.214,0.612
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'VSA_EState1')",6,-0.214,0.612
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",7,-0.22,0.612
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",6,-0.206,0.611
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",6,-0.2,0.61
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",6,-0.202,0.61
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",6,-0.214,0.61
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SPS', 'VSA_EState1')",6,-0.218,0.61
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",5,-0.219,0.61
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8')",4,-0.226,0.61
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",5,-0.226,0.61
"('HallKierAlpha', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.2,0.609
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",4,-0.205,0.609
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",7,-0.209,0.609
"('TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",4,-0.199,0.608
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",7,-0.231,0.608
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS', 'VSA_EState1')",7,-0.217,0.607
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",5,-0.194,0.606
