mse,r2,oob,tunnuste_arv,tunnused
-0.186,0.9534424086118409,0.653,175,"['MaxAbsEStateIndex', 'MinAbsEStateIndex', 'MinEStateIndex', 'qed', 'SPS', 'MolWt', 'NumRadicalElectrons', 'MaxPartialCharge', 'MinPartialCharge', 'FpDensityMorgan1', 'FpDensityMorgan2', 'FpDensityMorgan3', 'BCUT2D_MWHI', 'BCUT2D_MWLOW', 'BCUT2D_CHGHI', 'BCUT2D_CHGLO', 'BCUT2D_LOGPHI', 'BCUT2D_LOGPLOW', 'BCUT2D_MRHI', 'BCUT2D_MRLOW', 'AvgIpc', 'BalabanJ', 'BertzCT', 'HallKierAlpha', 'Ipc', 'Kappa3', 'PEOE_VSA1', 'PEOE_VSA10', 'PEOE_VSA11', 'PEOE_VSA12', 'PEOE_VSA13', 'PEOE_VSA14', 'PEOE_VSA2', 'PEOE_VSA3', 'PEOE_VSA4', 'PEOE_VSA5', 'PEOE_VSA6', 'PEOE_VSA7', 'PEOE_VSA8', 'PEOE_VSA9', 'SMR_VSA1', 'SMR_VSA10', 'SMR_VSA2', 'SMR_VSA3', 'SMR_VSA4', 'SMR_VSA5', 'SMR_VSA6', 'SMR_VSA7', 'SMR_VSA8', 'SMR_VSA9', 'SlogP_VSA1', 'SlogP_VSA10', 'SlogP_VSA11', 'SlogP_VSA12', 'SlogP_VSA2', 'SlogP_VSA3', 'SlogP_VSA4', 'SlogP_VSA5', 'SlogP_VSA7', 'SlogP_VSA8', 'SlogP_VSA9', 'TPSA', 'EState_VSA1', 'EState_VSA10', 'EState_VSA11', 'EState_VSA2', 'EState_VSA3', 'EState_VSA4', 'EState_VSA5', 'EState_VSA6', 'EState_VSA7', 'EState_VSA8', 'EState_VSA9', 'VSA_EState1', 'VSA_EState10', 'VSA_EState2', 'VSA_EState3', 'VSA_EState4', 'VSA_EState5', 'VSA_EState6', 'VSA_EState7', 'VSA_EState8', 'VSA_EState9', 'FractionCSP3', 'NHOHCount', 'NOCount', 'NumAliphaticCarbocycles', 'NumAliphaticHeterocycles', 'NumAliphaticRings', 'NumAmideBonds', 'NumAromaticCarbocycles', 'NumAromaticHeterocycles', 'NumAromaticRings', 'NumAtomStereoCenters', 'NumBridgeheadAtoms', 'NumHeteroatoms', 'NumHeterocycles', 'NumRotatableBonds', 'NumSaturatedHeterocycles', 'NumSpiroAtoms', 'NumUnspecifiedAtomStereoCenters', 'RingCount', 'MolLogP', 'fr_Al_COO', 'fr_ArN', 'fr_Ar_COO', 'fr_Ar_N', 'fr_Ar_NH', 'fr_Ar_OH', 'fr_C_O', 'fr_C_S', 'fr_HOCCN', 'fr_Imine', 'fr_NH0', 'fr_NH1', 'fr_NH2', 'fr_N_O', 'fr_Ndealkylation1', 'fr_Ndealkylation2', 'fr_SH', 'fr_aldehyde', 'fr_alkyl_carbamate', 'fr_alkyl_halide', 'fr_allylic_oxid', 'fr_amidine', 'fr_aniline', 'fr_aryl_methyl', 'fr_azide', 'fr_azo', 'fr_barbitur', 'fr_benzodiazepine', 'fr_bicyclic', 'fr_diazo', 'fr_dihydropyridine', 'fr_epoxide', 'fr_ester', 'fr_ether', 'fr_furan', 'fr_guanido', 'fr_halogen', 'fr_hdrzine', 'fr_hdrzone', 'fr_imidazole', 'fr_imide', 'fr_isocyan', 'fr_isothiocyan', 'fr_ketone', 'fr_ketone_Topliss', 'fr_lactam', 'fr_lactone', 'fr_methoxy', 'fr_morpholine', 'fr_nitro', 'fr_nitroso', 'fr_oxazole', 'fr_oxime', 'fr_para_hydroxylation', 'fr_phos_acid', 'fr_phos_ester', 'fr_piperdine', 'fr_piperzine', 'fr_priamide', 'fr_prisulfonamd', 'fr_pyridine', 'fr_quatN', 'fr_sulfide', 'fr_sulfonamd', 'fr_sulfone', 'fr_term_acetylene', 'fr_tetrazole', 'fr_thiazole', 'fr_thiocyan', 'fr_thiophene', 'fr_unbrch_alkane', 'fr_urea']"
-0.186,0.9519238546257502,0.643,157,"['VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState4', 'BertzCT', 'SlogP_VSA1', 'PEOE_VSA8', 'AvgIpc', 'SMR_VSA9', 'MaxAbsEStateIndex', 'PEOE_VSA2', 'fr_NH2', 'Ipc', 'BCUT2D_MRHI', 'VSA_EState1', 'MolWt', 'BCUT2D_CHGLO', 'SMR_VSA6', 'SlogP_VSA2', 'BCUT2D_LOGPHI', 'BCUT2D_MRLOW', 'VSA_EState9', 'SMR_VSA10', 'qed', 'NumAromaticCarbocycles', 'SlogP_VSA11', 'BalabanJ', 'fr_pyridine', 'Kappa3', 'SPS', 'PEOE_VSA7', 'SMR_VSA7', 'NumAromaticRings', 'BCUT2D_MWLOW', 'BCUT2D_LOGPLOW', 'EState_VSA3', 'NOCount', 'VSA_EState5', 'MolLogP', 'EState_VSA4', 'BCUT2D_CHGHI', 'PEOE_VSA3', 'VSA_EState3', 'PEOE_VSA13', 'FractionCSP3', 'NumHeteroatoms', 'MinAbsEStateIndex', 'FpDensityMorgan3', 'VSA_EState7', 'MinEStateIndex', 'FpDensityMorgan2', 'EState_VSA7', 'NumAmideBonds', 'BCUT2D_MWHI', 'VSA_EState6', 'FpDensityMorgan1', 'SlogP_VSA10', 'NumRotatableBonds', 'SMR_VSA2', 'SMR_VSA1', 'PEOE_VSA12', 'fr_methoxy', 'EState_VSA2', 'SlogP_VSA5', 'MinPartialCharge', 'fr_NH0', 'VSA_EState8', 'PEOE_VSA10', 'MaxPartialCharge', 'PEOE_VSA6', 'fr_bicyclic', 'EState_VSA6', 'PEOE_VSA1', 'EState_VSA8', 'SMR_VSA5', 'PEOE_VSA9', 'EState_VSA5', 'SMR_VSA4', 'fr_Ar_N', 'SlogP_VSA3', 'EState_VSA9', 'NumAromaticHeterocycles', 'EState_VSA1', 'fr_allylic_oxid', 'PEOE_VSA11', 'SlogP_VSA4', 'fr_ether', 'EState_VSA10', 'NumHeterocycles', 'PEOE_VSA4', 'fr_imide', 'NumAtomStereoCenters', 'fr_hdrzone', 'NHOHCount', 'fr_halogen', 'RingCount', 'fr_Ndealkylation1', 'fr_C_O', 'fr_aniline', 'fr_aryl_methyl', 'fr_NH1', 'fr_Ar_OH', 'NumAliphaticRings', 'PEOE_VSA14', 'VSA_EState10', 'fr_ketone_Topliss', 'NumAliphaticHeterocycles', 'NumUnspecifiedAtomStereoCenters', 'fr_sulfonamd', 'PEOE_VSA5', 'fr_ester', 'fr_HOCCN', 'fr_para_hydroxylation', 'fr_piperdine', 'NumSaturatedHeterocycles', 'fr_Ndealkylation2', 'SlogP_VSA12', 'fr_urea', 'EState_VSA11', 'fr_morpholine', 'NumAliphaticCarbocycles', 'fr_ketone', 'fr_Ar_NH', 'fr_imidazole', 'SlogP_VSA7', 'fr_nitro', 'fr_alkyl_halide', 'fr_furan', 'fr_lactone', 'fr_thiazole', 'fr_piperzine', 'fr_ArN', 'fr_barbitur', 'fr_thiophene', 'fr_unbrch_alkane', 'fr_Al_COO', 'NumSpiroAtoms', 'fr_nitroso', 'NumBridgeheadAtoms', 'fr_dihydropyridine', 'fr_sulfide', 'fr_N_O', 'fr_guanido', 'fr_term_acetylene', 'NumRadicalElectrons', 'fr_C_S', 'fr_Ar_COO', 'SlogP_VSA9', 'SMR_VSA8', 'fr_alkyl_carbamate', 'fr_aldehyde', 'fr_Imine', 'fr_azide', 'fr_benzodiazepine', 'fr_epoxide']"
-0.189,0.9539206414501179,0.658,141,"['HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'NumAromaticCarbocycles', 'PEOE_VSA8', 'BertzCT', 'BCUT2D_CHGLO', 'BCUT2D_MRHI', 'SlogP_VSA11', 'SlogP_VSA1', 'SMR_VSA6', 'SMR_VSA10', 'PEOE_VSA2', 'MaxAbsEStateIndex', 'fr_NH2', 'SMR_VSA9', 'Ipc', 'AvgIpc', 'MolWt', 'SlogP_VSA2', 'BCUT2D_MRLOW', 'SPS', 'NOCount', 'BCUT2D_MWLOW', 'PEOE_VSA7', 'qed', 'Kappa3', 'NumAromaticRings', 'VSA_EState9', 'BCUT2D_LOGPLOW', 'PEOE_VSA3', 'VSA_EState1', 'VSA_EState3', 'BCUT2D_LOGPHI', 'BalabanJ', 'MinAbsEStateIndex', 'EState_VSA3', 'SMR_VSA7', 'FpDensityMorgan3', 'EState_VSA4', 'VSA_EState7', 'NumHeteroatoms', 'FractionCSP3', 'PEOE_VSA13', 'fr_pyridine', 'MinEStateIndex', 'BCUT2D_CHGHI', 'SMR_VSA1', 'VSA_EState5', 'MolLogP', 'EState_VSA7', 'NumAmideBonds', 'BCUT2D_MWHI', 'fr_bicyclic', 'fr_methoxy', 'VSA_EState8', 'FpDensityMorgan1', 'FpDensityMorgan2', 'MaxPartialCharge', 'fr_NH0', 'PEOE_VSA1', 'MinPartialCharge', 'SlogP_VSA10', 'EState_VSA5', 'VSA_EState6', 'PEOE_VSA9', 'SMR_VSA5', 'PEOE_VSA6', 'PEOE_VSA10', 'EState_VSA2', 'NumRotatableBonds', 'SMR_VSA4', 'PEOE_VSA12', 'SMR_VSA2', 'EState_VSA8', 'EState_VSA9', 'NumAromaticHeterocycles', 'SlogP_VSA3', 'fr_ether', 'EState_VSA6', 'fr_Ar_N', 'EState_VSA1', 'EState_VSA10', 'SlogP_VSA5', 'NumHeterocycles', 'fr_NH1', 'SlogP_VSA4', 'PEOE_VSA11', 'fr_hdrzone', 'NumAliphaticRings', 'RingCount', 'fr_allylic_oxid', 'fr_halogen', 'NumUnspecifiedAtomStereoCenters', 'NumAtomStereoCenters', 'NHOHCount', 'PEOE_VSA4', 'NumAliphaticHeterocycles', 'fr_aryl_methyl', 'fr_Ndealkylation1', 'fr_aniline', 'EState_VSA11', 'PEOE_VSA14', 'fr_C_O', 'fr_HOCCN', 'PEOE_VSA5', 'VSA_EState10', 'fr_sulfonamd', 'fr_imide', 'NumSaturatedHeterocycles', 'fr_para_hydroxylation', 'fr_ketone_Topliss', 'fr_Ar_OH', 'fr_Ndealkylation2', 'fr_ester', 'NumAliphaticCarbocycles', 'fr_piperdine', 'fr_ketone', 'fr_urea', 'fr_morpholine', 'SlogP_VSA12', 'fr_nitro', 'fr_thiazole', 'fr_Ar_NH', 'fr_unbrch_alkane', 'fr_ArN', 'SlogP_VSA7', 'fr_furan', 'fr_thiophene', 'fr_alkyl_halide', 'NumSpiroAtoms', 'fr_piperzine', 'fr_imidazole', 'fr_nitroso', 'fr_lactone', 'fr_Al_COO', 'fr_barbitur', 'NumBridgeheadAtoms']"
-0.187,0.9528710014662896,0.65,126,"['HallKierAlpha', 'VSA_EState2', 'SMR_VSA3', 'SlogP_VSA8', 'TPSA', 'VSA_EState4', 'BertzCT', 'SlogP_VSA1', 'PEOE_VSA8', 'fr_NH2', 'AvgIpc', 'MaxAbsEStateIndex', 'PEOE_VSA2', 'SMR_VSA9', 'NumAromaticRings', 'NumAromaticCarbocycles', 'BCUT2D_MRHI', 'SlogP_VSA2', 'SMR_VSA6', 'SlogP_VSA11', 'BCUT2D_LOGPHI', 'BCUT2D_MRLOW', 'NOCount', 'SMR_VSA10', 'BalabanJ', 'BCUT2D_CHGLO', 'MolWt', 'SPS', 'Ipc', 'VSA_EState1', 'VSA_EState9', 'qed', 'BCUT2D_MWLOW', 'VSA_EState5', 'Kappa3', 'PEOE_VSA3', 'PEOE_VSA7', 'FpDensityMorgan3', 'VSA_EState7', 'VSA_EState3', 'fr_NH0', 'BCUT2D_LOGPLOW', 'SMR_VSA7', 'MinAbsEStateIndex', 'MinEStateIndex', 'fr_methoxy', 'NumHeteroatoms', 'FpDensityMorgan2', 'PEOE_VSA13', 'MolLogP', 'EState_VSA4', 'EState_VSA3', 'BCUT2D_CHGHI', 'BCUT2D_MWHI', 'FractionCSP3', 'fr_pyridine', 'NumRotatableBonds', 'VSA_EState6', 'NumAmideBonds', 'MinPartialCharge', 'PEOE_VSA10', 'PEOE_VSA12', 'SMR_VSA5', 'FpDensityMorgan1', 'SMR_VSA2', 'EState_VSA7', 'VSA_EState8', 'SMR_VSA1', 'EState_VSA2', 'fr_bicyclic', 'PEOE_VSA6', 'PEOE_VSA9', 'EState_VSA8', 'PEOE_VSA1', 'SlogP_VSA10', 'SlogP_VSA5', 'EState_VSA5', 'SlogP_VSA3', 'MaxPartialCharge', 'EState_VSA1', 'fr_Ar_N', 'SMR_VSA4', 'fr_allylic_oxid', 'EState_VSA6', 'EState_VSA10', 'NumAtomStereoCenters', 'SlogP_VSA4', 'EState_VSA9', 'fr_C_O', 'fr_hdrzone', 'fr_ether', 'PEOE_VSA11', 'NumAromaticHeterocycles', 'fr_Ndealkylation1', 'NumHeterocycles', 'RingCount', 'fr_halogen', 'PEOE_VSA4', 'NHOHCount', 'fr_NH1', 'NumAliphaticHeterocycles', 'fr_aryl_methyl', 'fr_imide', 'fr_Ar_OH', 'fr_aniline', 'NumAliphaticRings', 'NumUnspecifiedAtomStereoCenters', 'PEOE_VSA14', 'VSA_EState10', 'PEOE_VSA5', 'fr_sulfonamd', 'fr_ketone_Topliss', 'fr_piperdine', 'NumSaturatedHeterocycles', 'EState_VSA11', 'SlogP_VSA12', 'fr_HOCCN', 'fr_ester', 'fr_Ndealkylation2', 'fr_ketone', 'fr_para_hydroxylation', 'fr_imidazole', 'fr_urea', 'fr_morpholine', 'fr_nitro', 'NumAliphaticCarbocycles']"
-0.186,0.953124444612751,0.652,113,"['HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'PEOE_VSA8', 'AvgIpc', 'MaxAbsEStateIndex', 'BertzCT', 'SlogP_VSA11', 'SlogP_VSA1', 'BCUT2D_MRHI', 'SMR_VSA9', 'SlogP_VSA2', 'NumAromaticRings', 'SMR_VSA6', 'SMR_VSA10', 'fr_NH2', 'PEOE_VSA2', 'MolWt', 'Ipc', 'BalabanJ', 'BCUT2D_CHGLO', 'VSA_EState1', 'BCUT2D_LOGPHI', 'PEOE_VSA7', 'PEOE_VSA13', 'Kappa3', 'PEOE_VSA3', 'VSA_EState9', 'NumAromaticCarbocycles', 'BCUT2D_MRLOW', 'qed', 'VSA_EState5', 'BCUT2D_MWLOW', 'SPS', 'EState_VSA3', 'VSA_EState3', 'MolLogP', 'MinAbsEStateIndex', 'SMR_VSA7', 'BCUT2D_CHGHI', 'FractionCSP3', 'EState_VSA4', 'NOCount', 'MinEStateIndex', 'FpDensityMorgan2', 'NumAmideBonds', 'MaxPartialCharge', 'BCUT2D_LOGPLOW', 'FpDensityMorgan3', 'PEOE_VSA1', 'VSA_EState8', 'NumHeteroatoms', 'PEOE_VSA12', 'MinPartialCharge', 'SMR_VSA1', 'VSA_EState6', 'BCUT2D_MWHI', 'fr_NH0', 'VSA_EState7', 'NumRotatableBonds', 'EState_VSA7', 'PEOE_VSA9', 'fr_methoxy', 'SMR_VSA2', 'FpDensityMorgan1', 'SlogP_VSA5', 'EState_VSA2', 'PEOE_VSA6', 'EState_VSA5', 'SMR_VSA5', 'fr_pyridine', 'EState_VSA8', 'SlogP_VSA10', 'fr_bicyclic', 'EState_VSA6', 'PEOE_VSA10', 'fr_Ar_N', 'NumAromaticHeterocycles', 'EState_VSA10', 'EState_VSA1', 'fr_allylic_oxid', 'fr_ether', 'SlogP_VSA4', 'NumHeterocycles', 'SMR_VSA4', 'SlogP_VSA3', 'EState_VSA9', 'NumAtomStereoCenters', 'PEOE_VSA11', 'fr_NH1', 'fr_halogen', 'NHOHCount', 'fr_hdrzone', 'fr_aryl_methyl', 'NumAliphaticRings', 'fr_imide', 'fr_C_O', 'fr_aniline', 'fr_Ndealkylation1', 'RingCount', 'PEOE_VSA5', 'fr_Ar_OH', 'fr_ketone_Topliss', 'VSA_EState10', 'NumAliphaticHeterocycles', 'PEOE_VSA4', 'fr_sulfonamd', 'fr_piperdine', 'PEOE_VSA14', 'fr_HOCCN']"
-0.186,0.9537634580568343,0.656,101,"['TPSA', 'VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'SlogP_VSA1', 'VSA_EState4', 'PEOE_VSA8', 'SlogP_VSA2', 'MaxAbsEStateIndex', 'NumAromaticCarbocycles', 'PEOE_VSA2', 'SlogP_VSA11', 'fr_NH2', 'SMR_VSA9', 'BCUT2D_MRHI', 'AvgIpc', 'BCUT2D_CHGLO', 'SMR_VSA10', 'VSA_EState1', 'BertzCT', 'NumAromaticRings', 'Ipc', 'SMR_VSA6', 'VSA_EState9', 'MolWt', 'BCUT2D_MRLOW', 'Kappa3', 'BCUT2D_LOGPHI', 'SPS', 'SMR_VSA7', 'VSA_EState5', 'BalabanJ', 'PEOE_VSA3', 'fr_pyridine', 'PEOE_VSA13', 'VSA_EState3', 'PEOE_VSA7', 'EState_VSA4', 'EState_VSA3', 'BCUT2D_LOGPLOW', 'FractionCSP3', 'qed', 'NOCount', 'BCUT2D_MWLOW', 'MolLogP', 'NumHeteroatoms', 'MinAbsEStateIndex', 'FpDensityMorgan2', 'fr_NH0', 'VSA_EState7', 'MinEStateIndex', 'BCUT2D_CHGHI', 'NumAmideBonds', 'SMR_VSA1', 'FpDensityMorgan3', 'MaxPartialCharge', 'FpDensityMorgan1', 'MinPartialCharge', 'EState_VSA2', 'fr_methoxy', 'VSA_EState6', 'VSA_EState8', 'BCUT2D_MWHI', 'EState_VSA7', 'PEOE_VSA10', 'NumRotatableBonds', 'SlogP_VSA10', 'PEOE_VSA9', 'EState_VSA5', 'fr_bicyclic', 'PEOE_VSA1', 'PEOE_VSA12', 'SlogP_VSA5', 'SMR_VSA2', 'NumHeterocycles', 'PEOE_VSA6', 'EState_VSA8', 'SMR_VSA5', 'SMR_VSA4', 'EState_VSA6', 'NumAromaticHeterocycles', 'EState_VSA1', 'EState_VSA9', 'fr_Ar_N', 'SlogP_VSA3', 'PEOE_VSA11', 'EState_VSA10', 'fr_ether', 'fr_imide', 'NumAtomStereoCenters', 'fr_hdrzone', 'NHOHCount', 'fr_NH1', 'SlogP_VSA4', 'fr_allylic_oxid', 'fr_aniline', 'fr_halogen', 'PEOE_VSA4', 'fr_C_O', 'fr_aryl_methyl']"
-0.186,0.9533366505153715,0.653,90,"['HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'NumAromaticCarbocycles', 'PEOE_VSA8', 'SlogP_VSA1', 'MolWt', 'AvgIpc', 'SMR_VSA9', 'SlogP_VSA11', 'VSA_EState9', 'BCUT2D_MRHI', 'PEOE_VSA2', 'SlogP_VSA2', 'MaxAbsEStateIndex', 'BCUT2D_CHGLO', 'SMR_VSA10', 'NumAromaticRings', 'Ipc', 'fr_NH2', 'BCUT2D_MRLOW', 'BCUT2D_MWLOW', 'Kappa3', 'SMR_VSA6', 'VSA_EState1', 'BalabanJ', 'PEOE_VSA7', 'PEOE_VSA13', 'qed', 'SPS', 'PEOE_VSA3', 'BCUT2D_LOGPHI', 'VSA_EState3', 'NOCount', 'fr_pyridine', 'EState_VSA3', 'FpDensityMorgan3', 'FractionCSP3', 'MolLogP', 'SMR_VSA7', 'BCUT2D_MWHI', 'VSA_EState5', 'VSA_EState7', 'MinAbsEStateIndex', 'EState_VSA4', 'MinEStateIndex', 'FpDensityMorgan2', 'NumHeteroatoms', 'BCUT2D_CHGHI', 'MinPartialCharge', 'NumAmideBonds', 'FpDensityMorgan1', 'SlogP_VSA10', 'VSA_EState6', 'PEOE_VSA9', 'EState_VSA7', 'EState_VSA5', 'MaxPartialCharge', 'SMR_VSA1', 'BCUT2D_LOGPLOW', 'NumRotatableBonds', 'EState_VSA2', 'PEOE_VSA1', 'PEOE_VSA6', 'SMR_VSA5', 'fr_methoxy', 'VSA_EState8', 'PEOE_VSA12', 'fr_NH0', 'PEOE_VSA10', 'EState_VSA6', 'EState_VSA8', 'NumAromaticHeterocycles', 'SlogP_VSA5', 'SMR_VSA4', 'EState_VSA1', 'fr_ether', 'SlogP_VSA3', 'EState_VSA9', 'NumHeterocycles', 'fr_bicyclic', 'fr_allylic_oxid', 'SMR_VSA2', 'SlogP_VSA4', 'fr_Ar_N', 'PEOE_VSA11']"
-0.187,0.9525092304130159,0.646,81,"['HallKierAlpha', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'VSA_EState4', 'SlogP_VSA8', 'SlogP_VSA1', 'BertzCT', 'PEOE_VSA8', 'fr_NH2', 'AvgIpc', 'SMR_VSA9', 'BCUT2D_MRHI', 'MaxAbsEStateIndex', 'PEOE_VSA2', 'SMR_VSA10', 'MolWt', 'SlogP_VSA2', 'BCUT2D_CHGLO', 'SlogP_VSA11', 'Ipc', 'BCUT2D_MRLOW', 'VSA_EState1', 'NumAromaticCarbocycles', 'NumAromaticRings', 'Kappa3', 'BCUT2D_LOGPHI', 'PEOE_VSA13', 'VSA_EState9', 'BCUT2D_MWLOW', 'VSA_EState5', 'PEOE_VSA7', 'SPS', 'MinAbsEStateIndex', 'BalabanJ', 'SMR_VSA6', 'SMR_VSA7', 'NOCount', 'EState_VSA3', 'qed', 'VSA_EState7', 'PEOE_VSA3', 'MolLogP', 'FpDensityMorgan3', 'VSA_EState3', 'FractionCSP3', 'BCUT2D_MWHI', 'BCUT2D_CHGHI', 'FpDensityMorgan2', 'BCUT2D_LOGPLOW', 'fr_NH0', 'MinEStateIndex', 'EState_VSA4', 'fr_pyridine', 'VSA_EState6', 'NumAmideBonds', 'NumHeteroatoms', 'FpDensityMorgan1', 'MinPartialCharge', 'SMR_VSA5', 'EState_VSA7', 'MaxPartialCharge', 'VSA_EState8', 'SMR_VSA2', 'PEOE_VSA1', 'PEOE_VSA9', 'SMR_VSA1', 'fr_methoxy', 'PEOE_VSA6', 'fr_bicyclic', 'NumRotatableBonds', 'PEOE_VSA10', 'EState_VSA2', 'EState_VSA5', 'EState_VSA8', 'EState_VSA9', 'EState_VSA6', 'PEOE_VSA12', 'SlogP_VSA3', 'SlogP_VSA10', 'SlogP_VSA5']"
-0.185,0.9536553108996904,0.655,72,"['HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState4', 'AvgIpc', 'BertzCT', 'PEOE_VSA8', 'SMR_VSA9', 'BCUT2D_MRHI', 'SlogP_VSA1', 'SMR_VSA10', 'NumAromaticRings', 'SlogP_VSA2', 'PEOE_VSA2', 'MaxAbsEStateIndex', 'SMR_VSA6', 'BCUT2D_CHGLO', 'fr_NH2', 'MolWt', 'Kappa3', 'VSA_EState9', 'SlogP_VSA11', 'VSA_EState1', 'VSA_EState5', 'BalabanJ', 'Ipc', 'qed', 'BCUT2D_LOGPHI', 'PEOE_VSA3', 'BCUT2D_MRLOW', 'SMR_VSA7', 'SPS', 'PEOE_VSA7', 'VSA_EState3', 'BCUT2D_MWLOW', 'BCUT2D_CHGHI', 'MolLogP', 'EState_VSA4', 'NOCount', 'PEOE_VSA13', 'NumAromaticCarbocycles', 'EState_VSA3', 'FpDensityMorgan2', 'NumAmideBonds', 'fr_methoxy', 'MinAbsEStateIndex', 'FractionCSP3', 'fr_pyridine', 'FpDensityMorgan3', 'BCUT2D_MWHI', 'MinEStateIndex', 'VSA_EState7', 'VSA_EState6', 'MaxPartialCharge', 'NumHeteroatoms', 'BCUT2D_LOGPLOW', 'NumRotatableBonds', 'EState_VSA2', 'EState_VSA7', 'fr_NH0', 'SMR_VSA1', 'SMR_VSA2', 'FpDensityMorgan1', 'VSA_EState8', 'MinPartialCharge', 'EState_VSA8', 'PEOE_VSA1', 'PEOE_VSA9', 'SlogP_VSA5', 'fr_bicyclic']"
-0.187,0.9531734342417439,0.651,64,"['VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'TPSA', 'SMR_VSA3', 'VSA_EState4', 'SlogP_VSA1', 'fr_NH2', 'PEOE_VSA8', 'BCUT2D_MRHI', 'AvgIpc', 'BertzCT', 'SMR_VSA9', 'NumAromaticRings', 'MaxAbsEStateIndex', 'SMR_VSA10', 'BCUT2D_CHGLO', 'BCUT2D_MRLOW', 'PEOE_VSA2', 'SlogP_VSA2', 'Ipc', 'VSA_EState1', 'VSA_EState9', 'Kappa3', 'SMR_VSA6', 'BCUT2D_LOGPHI', 'MolWt', 'BalabanJ', 'PEOE_VSA7', 'BCUT2D_MWLOW', 'SlogP_VSA11', 'PEOE_VSA3', 'SPS', 'SMR_VSA7', 'PEOE_VSA13', 'MinEStateIndex', 'EState_VSA4', 'FpDensityMorgan2', 'NumHeteroatoms', 'NumAromaticCarbocycles', 'MolLogP', 'VSA_EState5', 'EState_VSA3', 'VSA_EState3', 'FractionCSP3', 'BCUT2D_LOGPLOW', 'NumAmideBonds', 'qed', 'MinAbsEStateIndex', 'MaxPartialCharge', 'fr_pyridine', 'SMR_VSA1', 'BCUT2D_CHGHI', 'VSA_EState7', 'FpDensityMorgan3', 'fr_methoxy', 'MinPartialCharge', 'NumRotatableBonds', 'fr_NH0', 'VSA_EState6', 'BCUT2D_MWHI', 'FpDensityMorgan1', 'EState_VSA8', 'NOCount']"
