mse,r2,oob,tunnuste_arv,tunnused
-0.193,0.9493045833343643,0.6359608775075571,175,"['MaxEStateIndex', 'MinAbsEStateIndex', 'MinEStateIndex', 'qed', 'SPS', 'NumRadicalElectrons', 'MinPartialCharge', 'MinAbsPartialCharge', 'FpDensityMorgan1', 'FpDensityMorgan2', 'FpDensityMorgan3', 'BCUT2D_MWHI', 'BCUT2D_MWLOW', 'BCUT2D_CHGHI', 'BCUT2D_CHGLO', 'BCUT2D_LOGPHI', 'BCUT2D_LOGPLOW', 'BCUT2D_MRHI', 'BCUT2D_MRLOW', 'AvgIpc', 'BalabanJ', 'BertzCT', 'Chi1', 'HallKierAlpha', 'Ipc', 'Kappa3', 'PEOE_VSA1', 'PEOE_VSA10', 'PEOE_VSA11', 'PEOE_VSA12', 'PEOE_VSA13', 'PEOE_VSA14', 'PEOE_VSA2', 'PEOE_VSA3', 'PEOE_VSA4', 'PEOE_VSA5', 'PEOE_VSA6', 'PEOE_VSA7', 'PEOE_VSA8', 'PEOE_VSA9', 'SMR_VSA1', 'SMR_VSA10', 'SMR_VSA3', 'SMR_VSA4', 'SMR_VSA5', 'SMR_VSA6', 'SMR_VSA8', 'SMR_VSA9', 'SlogP_VSA1', 'SlogP_VSA10', 'SlogP_VSA11', 'SlogP_VSA12', 'SlogP_VSA2', 'SlogP_VSA3', 'SlogP_VSA4', 'SlogP_VSA5', 'SlogP_VSA6', 'SlogP_VSA7', 'SlogP_VSA8', 'SlogP_VSA9', 'TPSA', 'EState_VSA1', 'EState_VSA10', 'EState_VSA11', 'EState_VSA2', 'EState_VSA3', 'EState_VSA4', 'EState_VSA5', 'EState_VSA6', 'EState_VSA7', 'EState_VSA8', 'EState_VSA9', 'VSA_EState1', 'VSA_EState10', 'VSA_EState2', 'VSA_EState3', 'VSA_EState4', 'VSA_EState5', 'VSA_EState6', 'VSA_EState7', 'VSA_EState8', 'VSA_EState9', 'FractionCSP3', 'NOCount', 'NumAliphaticCarbocycles', 'NumAliphaticHeterocycles', 'NumAliphaticRings', 'NumAmideBonds', 'NumAromaticCarbocycles', 'NumAromaticHeterocycles', 'NumAromaticRings', 'NumAtomStereoCenters', 'NumBridgeheadAtoms', 'NumHDonors', 'NumHeteroatoms', 'NumHeterocycles', 'NumRotatableBonds', 'NumSaturatedHeterocycles', 'NumSpiroAtoms', 'NumUnspecifiedAtomStereoCenters', 'RingCount', 'MolLogP', 'fr_ArN', 'fr_Ar_COO', 'fr_Ar_N', 'fr_Ar_NH', 'fr_COO2', 'fr_C_O_noCOO', 'fr_C_S', 'fr_HOCCN', 'fr_Imine', 'fr_NH0', 'fr_NH1', 'fr_NH2', 'fr_N_O', 'fr_Ndealkylation1', 'fr_Ndealkylation2', 'fr_SH', 'fr_aldehyde', 'fr_alkyl_carbamate', 'fr_alkyl_halide', 'fr_allylic_oxid', 'fr_amidine', 'fr_aniline', 'fr_aryl_methyl', 'fr_azide', 'fr_azo', 'fr_barbitur', 'fr_benzodiazepine', 'fr_bicyclic', 'fr_diazo', 'fr_dihydropyridine', 'fr_epoxide', 'fr_ester', 'fr_ether', 'fr_furan', 'fr_guanido', 'fr_halogen', 'fr_hdrzine', 'fr_hdrzone', 'fr_imidazole', 'fr_imide', 'fr_isocyan', 'fr_isothiocyan', 'fr_ketone', 'fr_ketone_Topliss', 'fr_lactam', 'fr_lactone', 'fr_methoxy', 'fr_morpholine', 'fr_nitrile', 'fr_nitro_arom_nonortho', 'fr_nitroso', 'fr_oxazole', 'fr_oxime', 'fr_para_hydroxylation', 'fr_phenol_noOrthoHbond', 'fr_phos_acid', 'fr_phos_ester', 'fr_piperdine', 'fr_piperzine', 'fr_priamide', 'fr_prisulfonamd', 'fr_pyridine', 'fr_quatN', 'fr_sulfide', 'fr_sulfonamd', 'fr_sulfone', 'fr_term_acetylene', 'fr_tetrazole', 'fr_thiazole', 'fr_thiocyan', 'fr_thiophene', 'fr_unbrch_alkane', 'fr_urea']"
-0.193,0.9495688219913577,0.6380456198505615,157,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState2', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SMR_VSA10', 'SlogP_VSA2', 'EState_VSA4', 'SPS', 'BertzCT', 'VSA_EState9', 'PEOE_VSA2', 'BCUT2D_MRHI', 'PEOE_VSA8', 'qed', 'PEOE_VSA7', 'BalabanJ', 'fr_nitrile', 'Kappa3', 'BCUT2D_MRLOW', 'BCUT2D_MWHI', 'MinAbsEStateIndex', 'MaxEStateIndex', 'PEOE_VSA9', 'BCUT2D_MWLOW', 'FpDensityMorgan1', 'EState_VSA7', 'MolLogP', 'BCUT2D_CHGLO', 'SlogP_VSA6', 'BCUT2D_LOGPHI', 'BCUT2D_LOGPLOW', 'VSA_EState5', 'EState_VSA3', 'VSA_EState7', 'VSA_EState8', 'PEOE_VSA3', 'FpDensityMorgan3', 'SMR_VSA4', 'BCUT2D_CHGHI', 'EState_VSA5', 'FpDensityMorgan2', 'MinEStateIndex', 'PEOE_VSA6', 'Chi1', 'NumAromaticCarbocycles', 'fr_aryl_methyl', 'MinPartialCharge', 'Ipc', 'fr_hdrzone', 'PEOE_VSA13', 'EState_VSA6', 'MinAbsPartialCharge', 'VSA_EState6', 'PEOE_VSA10', 'fr_pyridine', 'SlogP_VSA11', 'SMR_VSA1', 'EState_VSA2', 'EState_VSA8', 'fr_ketone_Topliss', 'NumRotatableBonds', 'SlogP_VSA3', 'SMR_VSA6', 'SlogP_VSA5', 'SlogP_VSA10', 'PEOE_VSA12', 'FractionCSP3', 'PEOE_VSA1', 'SlogP_VSA4', 'SMR_VSA5', 'fr_Ar_N', 'EState_VSA9', 'NumAliphaticHeterocycles', 'EState_VSA1', 'SMR_VSA9', 'NOCount', 'NumHeterocycles', 'fr_Ndealkylation1', 'fr_allylic_oxid', 'VSA_EState10', 'PEOE_VSA11', 'fr_halogen', 'SlogP_VSA1', 'EState_VSA10', 'fr_methoxy', 'fr_NH0', 'NumHeteroatoms', 'NumAromaticRings', 'NumHDonors', 'fr_NH1', 'fr_piperdine', 'fr_imide', 'PEOE_VSA4', 'NumAromaticHeterocycles', 'fr_ether', 'fr_C_O_noCOO', 'PEOE_VSA14', 'fr_Ndealkylation2', 'fr_para_hydroxylation', 'fr_furan', 'RingCount', 'fr_ester', 'PEOE_VSA5', 'fr_urea', 'NumUnspecifiedAtomStereoCenters', 'fr_bicyclic', 'NumAliphaticRings', 'fr_Ar_NH', 'fr_imidazole', 'fr_phenol_noOrthoHbond', 'NumAtomStereoCenters', 'fr_nitro_arom_nonortho', 'SlogP_VSA12', 'fr_thiazole', 'fr_alkyl_halide', 'fr_aniline', 'fr_thiophene', 'SlogP_VSA7', 'fr_ketone', 'NumSaturatedHeterocycles', 'fr_morpholine', 'NumAliphaticCarbocycles', 'EState_VSA11', 'fr_sulfonamd', 'fr_unbrch_alkane', 'fr_piperzine', 'fr_lactone', 'fr_COO2', 'fr_ArN', 'fr_barbitur', 'NumSpiroAtoms', 'fr_dihydropyridine', 'fr_term_acetylene', 'fr_guanido', 'NumBridgeheadAtoms', 'fr_N_O', 'SMR_VSA8', 'NumRadicalElectrons', 'fr_Imine', 'fr_Ar_COO', 'SlogP_VSA9', 'fr_HOCCN', 'fr_C_S', 'fr_diazo', 'fr_amidine', 'fr_SH', 'fr_aldehyde', 'fr_epoxide', 'fr_benzodiazepine', 'fr_alkyl_carbamate']"
-0.192,0.9497162735212381,0.6370234468547957,141,"['HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'AvgIpc', 'SMR_VSA3', 'VSA_EState2', 'NumAmideBonds', 'VSA_EState4', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SlogP_VSA2', 'SPS', 'EState_VSA4', 'PEOE_VSA2', 'SMR_VSA10', 'qed', 'BertzCT', 'BCUT2D_MRHI', 'VSA_EState9', 'PEOE_VSA8', 'fr_nitrile', 'PEOE_VSA7', 'Kappa3', 'MinAbsEStateIndex', 'BCUT2D_MRLOW', 'BCUT2D_LOGPHI', 'BalabanJ', 'MolLogP', 'BCUT2D_MWHI', 'BCUT2D_MWLOW', 'PEOE_VSA9', 'FpDensityMorgan1', 'EState_VSA7', 'BCUT2D_CHGLO', 'BCUT2D_LOGPLOW', 'EState_VSA3', 'VSA_EState7', 'MaxEStateIndex', 'FpDensityMorgan2', 'FpDensityMorgan3', 'SlogP_VSA6', 'PEOE_VSA3', 'Ipc', 'SMR_VSA4', 'PEOE_VSA6', 'VSA_EState8', 'MinEStateIndex', 'BCUT2D_CHGHI', 'NumAromaticCarbocycles', 'fr_aryl_methyl', 'VSA_EState5', 'EState_VSA5', 'fr_hdrzone', 'EState_VSA6', 'MinAbsPartialCharge', 'MinPartialCharge', 'PEOE_VSA10', 'VSA_EState6', 'fr_pyridine', 'PEOE_VSA13', 'SlogP_VSA11', 'Chi1', 'SlogP_VSA5', 'EState_VSA2', 'fr_ketone_Topliss', 'SlogP_VSA3', 'FractionCSP3', 'NumRotatableBonds', 'PEOE_VSA1', 'SlogP_VSA10', 'SMR_VSA6', 'EState_VSA8', 'fr_allylic_oxid', 'SMR_VSA1', 'EState_VSA9', 'SlogP_VSA4', 'fr_NH1', 'SMR_VSA5', 'NumHeteroatoms', 'NumHeterocycles', 'EState_VSA10', 'EState_VSA1', 'SMR_VSA9', 'NumAromaticRings', 'NumAliphaticHeterocycles', 'fr_Ndealkylation1', 'fr_halogen', 'NOCount', 'SlogP_VSA1', 'PEOE_VSA12', 'VSA_EState10', 'fr_methoxy', 'fr_NH0', 'fr_piperdine', 'PEOE_VSA11', 'NumAromaticHeterocycles', 'NumHDonors', 'PEOE_VSA4', 'fr_ether', 'fr_HOCCN', 'PEOE_VSA14', 'fr_C_O_noCOO', 'RingCount', 'fr_para_hydroxylation', 'NumAtomStereoCenters', 'fr_furan', 'fr_bicyclic', 'fr_Ar_N', 'fr_ester', 'PEOE_VSA5', 'fr_Ar_NH', 'fr_thiazole', 'fr_aniline', 'NumAliphaticRings', 'SlogP_VSA12', 'fr_unbrch_alkane', 'NumAliphaticCarbocycles', 'NumSaturatedHeterocycles', 'fr_thiophene', 'fr_urea', 'SlogP_VSA7', 'fr_alkyl_halide', 'fr_Ndealkylation2', 'fr_nitro_arom_nonortho', 'fr_phenol_noOrthoHbond', 'fr_sulfonamd', 'fr_imide', 'fr_imidazole', 'fr_morpholine', 'fr_ketone', 'NumUnspecifiedAtomStereoCenters', 'fr_COO2', 'fr_piperzine', 'EState_VSA11', 'fr_lactone', 'fr_barbitur', 'fr_dihydropyridine', 'fr_guanido', 'fr_N_O', 'NumSpiroAtoms']"
-0.193,0.9501276112631311,0.6390313087279093,126,"['HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SlogP_VSA2', 'SPS', 'EState_VSA4', 'qed', 'SMR_VSA10', 'PEOE_VSA2', 'BertzCT', 'BCUT2D_MRHI', 'VSA_EState9', 'PEOE_VSA8', 'fr_nitrile', 'PEOE_VSA7', 'Kappa3', 'BCUT2D_MRLOW', 'FpDensityMorgan1', 'Ipc', 'BCUT2D_MWHI', 'PEOE_VSA9', 'MinAbsEStateIndex', 'MolLogP', 'VSA_EState5', 'BCUT2D_MWLOW', 'BCUT2D_LOGPLOW', 'PEOE_VSA3', 'EState_VSA7', 'BalabanJ', 'SlogP_VSA6', 'FpDensityMorgan3', 'BCUT2D_LOGPHI', 'MaxEStateIndex', 'EState_VSA3', 'VSA_EState7', 'VSA_EState8', 'FpDensityMorgan2', 'BCUT2D_CHGLO', 'BCUT2D_CHGHI', 'MinEStateIndex', 'EState_VSA5', 'PEOE_VSA6', 'fr_aryl_methyl', 'NumAromaticCarbocycles', 'SMR_VSA4', 'fr_pyridine', 'PEOE_VSA10', 'fr_hdrzone', 'PEOE_VSA13', 'EState_VSA6', 'VSA_EState6', 'EState_VSA2', 'SlogP_VSA11', 'MinPartialCharge', 'SlogP_VSA5', 'fr_ketone_Topliss', 'FractionCSP3', 'NumRotatableBonds', 'MinAbsPartialCharge', 'SlogP_VSA3', 'SMR_VSA6', 'EState_VSA8', 'NumHeteroatoms', 'SlogP_VSA10', 'Chi1', 'fr_allylic_oxid', 'SMR_VSA1', 'PEOE_VSA1', 'SlogP_VSA4', 'SMR_VSA5', 'NOCount', 'EState_VSA9', 'fr_Ndealkylation1', 'NumHeterocycles', 'EState_VSA1', 'fr_Ar_N', 'SMR_VSA9', 'NumAliphaticRings', 'PEOE_VSA12', 'fr_halogen', 'EState_VSA10', 'VSA_EState10', 'fr_imide', 'fr_methoxy', 'PEOE_VSA11', 'fr_NH0', 'NumAromaticRings', 'SlogP_VSA1', 'fr_NH1', 'fr_piperdine', 'NumAromaticHeterocycles', 'fr_bicyclic', 'fr_ether', 'PEOE_VSA4', 'PEOE_VSA14', 'NumHDonors', 'fr_para_hydroxylation', 'RingCount', 'fr_C_O_noCOO', 'fr_furan', 'fr_ketone', 'fr_Ndealkylation2', 'fr_phenol_noOrthoHbond', 'fr_ester', 'PEOE_VSA5', 'NumUnspecifiedAtomStereoCenters', 'fr_Ar_NH', 'fr_imidazole', 'fr_HOCCN', 'NumAliphaticHeterocycles', 'fr_aniline', 'SlogP_VSA12', 'NumAtomStereoCenters', 'fr_thiazole', 'fr_thiophene', 'NumSaturatedHeterocycles', 'fr_unbrch_alkane', 'fr_alkyl_halide']"
-0.196,0.9505581264781957,0.6426287875579961,113,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState2', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SlogP_VSA2', 'SPS', 'SMR_VSA10', 'EState_VSA4', 'PEOE_VSA2', 'qed', 'VSA_EState9', 'BCUT2D_MRHI', 'PEOE_VSA8', 'fr_nitrile', 'PEOE_VSA7', 'BertzCT', 'Kappa3', 'BCUT2D_MRLOW', 'MinAbsEStateIndex', 'Ipc', 'MolLogP', 'PEOE_VSA9', 'BCUT2D_MWHI', 'BCUT2D_LOGPHI', 'BCUT2D_MWLOW', 'FpDensityMorgan1', 'EState_VSA7', 'EState_VSA3', 'VSA_EState5', 'BalabanJ', 'BCUT2D_LOGPLOW', 'MaxEStateIndex', 'SlogP_VSA6', 'SMR_VSA4', 'MinEStateIndex', 'EState_VSA5', 'FpDensityMorgan3', 'VSA_EState7', 'BCUT2D_CHGHI', 'BCUT2D_CHGLO', 'VSA_EState8', 'PEOE_VSA3', 'FpDensityMorgan2', 'fr_aryl_methyl', 'PEOE_VSA6', 'NumAromaticCarbocycles', 'EState_VSA6', 'PEOE_VSA13', 'PEOE_VSA10', 'fr_hdrzone', 'VSA_EState6', 'MinPartialCharge', 'fr_pyridine', 'SMR_VSA1', 'SlogP_VSA5', 'EState_VSA2', 'SlogP_VSA11', 'SlogP_VSA3', 'NumRotatableBonds', 'fr_ketone_Topliss', 'SlogP_VSA10', 'SMR_VSA6', 'EState_VSA8', 'FractionCSP3', 'Chi1', 'PEOE_VSA1', 'MinAbsPartialCharge', 'NumHeteroatoms', 'SlogP_VSA4', 'fr_allylic_oxid', 'EState_VSA9', 'SMR_VSA5', 'EState_VSA1', 'NumHeterocycles', 'NumAliphaticHeterocycles', 'SMR_VSA9', 'PEOE_VSA12', 'PEOE_VSA11', 'fr_Ndealkylation1', 'fr_halogen', 'SlogP_VSA1', 'fr_Ar_N', 'NOCount', 'VSA_EState10', 'EState_VSA10', 'NumHDonors', 'fr_methoxy', 'fr_NH0', 'NumAromaticRings', 'fr_ether', 'PEOE_VSA14', 'NumAromaticHeterocycles', 'fr_piperdine', 'fr_NH1', 'fr_ester', 'PEOE_VSA4', 'fr_HOCCN', 'PEOE_VSA5', 'fr_para_hydroxylation', 'fr_Ndealkylation2', 'RingCount', 'NumAliphaticRings', 'fr_furan', 'fr_bicyclic', 'fr_Ar_NH', 'fr_imidazole']"
-0.194,0.9491680237973998,0.6321486215992556,101,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState2', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SlogP_VSA2', 'SPS', 'PEOE_VSA2', 'EState_VSA4', 'VSA_EState9', 'BCUT2D_MRHI', 'PEOE_VSA8', 'qed', 'fr_nitrile', 'SMR_VSA10', 'BertzCT', 'VSA_EState5', 'PEOE_VSA7', 'FpDensityMorgan1', 'Kappa3', 'Ipc', 'BCUT2D_MRLOW', 'BCUT2D_MWHI', 'BCUT2D_MWLOW', 'MinAbsEStateIndex', 'PEOE_VSA9', 'MolLogP', 'EState_VSA7', 'PEOE_VSA3', 'SlogP_VSA6', 'BCUT2D_LOGPLOW', 'MaxEStateIndex', 'FpDensityMorgan3', 'EState_VSA5', 'EState_VSA3', 'VSA_EState8', 'BCUT2D_LOGPHI', 'VSA_EState7', 'BCUT2D_CHGLO', 'NumAromaticCarbocycles', 'MinEStateIndex', 'Chi1', 'BCUT2D_CHGHI', 'EState_VSA6', 'PEOE_VSA13', 'SMR_VSA4', 'fr_aryl_methyl', 'BalabanJ', 'PEOE_VSA6', 'MinPartialCharge', 'MinAbsPartialCharge', 'fr_hdrzone', 'EState_VSA2', 'FpDensityMorgan2', 'fr_pyridine', 'VSA_EState6', 'PEOE_VSA10', 'SMR_VSA6', 'SlogP_VSA5', 'SlogP_VSA11', 'SMR_VSA1', 'fr_ketone_Topliss', 'SlogP_VSA3', 'EState_VSA8', 'FractionCSP3', 'SlogP_VSA10', 'SlogP_VSA4', 'NumRotatableBonds', 'SMR_VSA5', 'NumHeteroatoms', 'PEOE_VSA1', 'EState_VSA1', 'EState_VSA9', 'fr_NH1', 'PEOE_VSA12', 'fr_Ndealkylation1', 'NOCount', 'NumAromaticRings', 'NumHeterocycles', 'SlogP_VSA1', 'PEOE_VSA11', 'fr_halogen', 'NumAromaticHeterocycles', 'fr_allylic_oxid', 'EState_VSA10', 'fr_Ar_N', 'SMR_VSA9', 'fr_methoxy', 'VSA_EState10', 'fr_NH0', 'fr_piperdine', 'NumAliphaticRings', 'fr_ether', 'PEOE_VSA4', 'fr_HOCCN']"
-0.194,0.9497817836254945,0.636516406115983,90,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState2', 'NumAmideBonds', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'VSA_EState3', 'SMR_VSA10', 'SlogP_VSA2', 'EState_VSA4', 'SPS', 'PEOE_VSA2', 'VSA_EState9', 'BCUT2D_MRHI', 'PEOE_VSA8', 'fr_nitrile', 'qed', 'BertzCT', 'Kappa3', 'PEOE_VSA7', 'VSA_EState5', 'BalabanJ', 'Ipc', 'PEOE_VSA9', 'BCUT2D_MRLOW', 'MinAbsEStateIndex', 'BCUT2D_LOGPLOW', 'BCUT2D_MWHI', 'BCUT2D_MWLOW', 'MolLogP', 'EState_VSA7', 'MaxEStateIndex', 'BCUT2D_LOGPHI', 'FpDensityMorgan1', 'EState_VSA3', 'BCUT2D_CHGHI', 'VSA_EState8', 'VSA_EState7', 'BCUT2D_CHGLO', 'SlogP_VSA6', 'FpDensityMorgan3', 'EState_VSA5', 'PEOE_VSA3', 'SMR_VSA4', 'PEOE_VSA13', 'FpDensityMorgan2', 'fr_aryl_methyl', 'MinEStateIndex', 'fr_hdrzone', 'EState_VSA6', 'PEOE_VSA6', 'fr_pyridine', 'NumAromaticCarbocycles', 'SlogP_VSA11', 'PEOE_VSA10', 'MinPartialCharge', 'SlogP_VSA5', 'EState_VSA8', 'SMR_VSA1', 'FractionCSP3', 'VSA_EState6', 'EState_VSA2', 'SlogP_VSA3', 'fr_NH1', 'PEOE_VSA1', 'MinAbsPartialCharge', 'SMR_VSA6', 'fr_ketone_Topliss', 'fr_allylic_oxid', 'SlogP_VSA10', 'SlogP_VSA4', 'NumRotatableBonds', 'EState_VSA9', 'SMR_VSA5', 'PEOE_VSA12', 'SMR_VSA9', 'NumHeterocycles', 'Chi1', 'NOCount', 'EState_VSA1', 'fr_Ndealkylation1', 'PEOE_VSA11', 'VSA_EState10', 'EState_VSA10', 'NumAliphaticRings', 'NumAromaticRings']"
-0.195,0.9492434759342938,0.6354476283398676,81,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SlogP_VSA2', 'SPS', 'EState_VSA4', 'PEOE_VSA2', 'BCUT2D_MRHI', 'qed', 'SMR_VSA10', 'PEOE_VSA8', 'VSA_EState9', 'PEOE_VSA7', 'BertzCT', 'fr_nitrile', 'Kappa3', 'BCUT2D_MRLOW', 'MolLogP', 'BCUT2D_MWHI', 'PEOE_VSA9', 'MinAbsEStateIndex', 'Ipc', 'VSA_EState5', 'BCUT2D_LOGPHI', 'FpDensityMorgan1', 'PEOE_VSA3', 'EState_VSA7', 'BCUT2D_CHGLO', 'MaxEStateIndex', 'BCUT2D_MWLOW', 'FpDensityMorgan3', 'EState_VSA3', 'BCUT2D_LOGPLOW', 'SlogP_VSA6', 'VSA_EState7', 'EState_VSA5', 'FpDensityMorgan2', 'NumAromaticCarbocycles', 'MinEStateIndex', 'BCUT2D_CHGHI', 'VSA_EState8', 'MinPartialCharge', 'EState_VSA6', 'PEOE_VSA13', 'PEOE_VSA6', 'fr_aryl_methyl', 'BalabanJ', 'fr_pyridine', 'fr_hdrzone', 'SlogP_VSA11', 'SMR_VSA4', 'SMR_VSA1', 'VSA_EState6', 'EState_VSA2', 'PEOE_VSA10', 'EState_VSA8', 'SMR_VSA6', 'fr_ketone_Topliss', 'SlogP_VSA3', 'SlogP_VSA5', 'SlogP_VSA10', 'MinAbsPartialCharge', 'NumRotatableBonds', 'EState_VSA9', 'FractionCSP3', 'Chi1', 'PEOE_VSA1', 'PEOE_VSA12', 'SlogP_VSA4', 'fr_NH1', 'NumAliphaticRings', 'SMR_VSA5', 'EState_VSA1']"
-0.194,0.9491282264001724,0.6354936952340184,72,"['HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SlogP_VSA2', 'BertzCT', 'SPS', 'EState_VSA4', 'BCUT2D_MRHI', 'VSA_EState9', 'PEOE_VSA2', 'qed', 'SMR_VSA10', 'PEOE_VSA8', 'BalabanJ', 'fr_nitrile', 'PEOE_VSA7', 'Kappa3', 'BCUT2D_MRLOW', 'FpDensityMorgan1', 'BCUT2D_MWHI', 'MolLogP', 'PEOE_VSA3', 'BCUT2D_LOGPHI', 'PEOE_VSA9', 'MinAbsEStateIndex', 'BCUT2D_MWLOW', 'BCUT2D_LOGPLOW', 'EState_VSA7', 'VSA_EState7', 'EState_VSA3', 'MaxEStateIndex', 'MinEStateIndex', 'VSA_EState5', 'SlogP_VSA6', 'FpDensityMorgan3', 'Ipc', 'BCUT2D_CHGLO', 'EState_VSA5', 'BCUT2D_CHGHI', 'VSA_EState8', 'FpDensityMorgan2', 'fr_aryl_methyl', 'fr_hdrzone', 'SMR_VSA4', 'PEOE_VSA6', 'SlogP_VSA5', 'fr_pyridine', 'NumAromaticCarbocycles', 'PEOE_VSA13', 'EState_VSA6', 'Chi1', 'VSA_EState6', 'MinPartialCharge', 'SlogP_VSA3', 'SlogP_VSA10', 'SMR_VSA1', 'PEOE_VSA10', 'SMR_VSA6', 'SlogP_VSA11', 'fr_ketone_Topliss', 'PEOE_VSA1', 'EState_VSA2', 'EState_VSA8', 'MinAbsPartialCharge']"
-0.191,0.9501548627571912,0.6384655669021155,64,"['HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SlogP_VSA2', 'SMR_VSA10', 'SPS', 'EState_VSA4', 'BertzCT', 'PEOE_VSA2', 'VSA_EState9', 'BCUT2D_MRHI', 'qed', 'fr_nitrile', 'PEOE_VSA8', 'Kappa3', 'PEOE_VSA7', 'BCUT2D_MRLOW', 'BCUT2D_MWHI', 'FpDensityMorgan1', 'PEOE_VSA9', 'MinAbsEStateIndex', 'MolLogP', 'BalabanJ', 'PEOE_VSA3', 'BCUT2D_LOGPLOW', 'BCUT2D_MWLOW', 'EState_VSA3', 'SlogP_VSA6', 'BCUT2D_CHGLO', 'VSA_EState5', 'EState_VSA7', 'Ipc', 'MinEStateIndex', 'BCUT2D_LOGPHI', 'EState_VSA5', 'VSA_EState7', 'MaxEStateIndex', 'FpDensityMorgan3', 'BCUT2D_CHGHI', 'Chi1', 'VSA_EState8', 'SMR_VSA4', 'NumAromaticCarbocycles', 'VSA_EState6', 'fr_pyridine', 'fr_aryl_methyl', 'EState_VSA6', 'FpDensityMorgan2', 'SlogP_VSA5', 'fr_hdrzone', 'PEOE_VSA13', 'MinPartialCharge', 'SMR_VSA1', 'EState_VSA2', 'PEOE_VSA10', 'PEOE_VSA6']"
