mse,r2,oob,tunnuste_arv,tunnused
-0.192,0.9521356768810229,0.6501245962894756,159,"['MaxAbsEStateIndex', 'MinAbsEStateIndex', 'MinEStateIndex', 'qed', 'SPS', 'MolWt', 'NumRadicalElectrons', 'MaxPartialCharge', 'MinPartialCharge', 'FpDensityMorgan1', 'FpDensityMorgan2', 'BCUT2D_MWHI', 'BCUT2D_MWLOW', 'BCUT2D_CHGHI', 'BCUT2D_CHGLO', 'BCUT2D_LOGPHI', 'BCUT2D_LOGPLOW', 'BCUT2D_MRHI', 'BCUT2D_MRLOW', 'AvgIpc', 'BalabanJ', 'BertzCT', 'HallKierAlpha', 'Ipc', 'PEOE_VSA1', 'PEOE_VSA10', 'PEOE_VSA11', 'PEOE_VSA12', 'PEOE_VSA13', 'PEOE_VSA14', 'PEOE_VSA2', 'PEOE_VSA3', 'PEOE_VSA4', 'PEOE_VSA5', 'PEOE_VSA6', 'PEOE_VSA7', 'PEOE_VSA8', 'PEOE_VSA9', 'SMR_VSA1', 'SMR_VSA10', 'SMR_VSA2', 'SMR_VSA3', 'SMR_VSA5', 'SMR_VSA6', 'SMR_VSA7', 'SMR_VSA8', 'SMR_VSA9', 'SlogP_VSA1', 'SlogP_VSA10', 'SlogP_VSA11', 'SlogP_VSA12', 'SlogP_VSA3', 'SlogP_VSA4', 'SlogP_VSA5', 'SlogP_VSA7', 'SlogP_VSA8', 'SlogP_VSA9', 'TPSA', 'EState_VSA11', 'EState_VSA2', 'EState_VSA3', 'EState_VSA4', 'EState_VSA5', 'EState_VSA6', 'EState_VSA7', 'EState_VSA8', 'EState_VSA9', 'VSA_EState1', 'VSA_EState2', 'VSA_EState3', 'VSA_EState4', 'VSA_EState5', 'VSA_EState6', 'VSA_EState7', 'VSA_EState8', 'VSA_EState9', 'FractionCSP3', 'NumAliphaticHeterocycles', 'NumAmideBonds', 'NumAromaticCarbocycles', 'NumAromaticHeterocycles', 'NumAromaticRings', 'NumBridgeheadAtoms', 'NumHeterocycles', 'NumSpiroAtoms', 'NumUnspecifiedAtomStereoCenters', 'RingCount', 'MolLogP', 'fr_Al_COO', 'fr_ArN', 'fr_Ar_COO', 'fr_Ar_N', 'fr_Ar_NH', 'fr_Ar_OH', 'fr_C_O', 'fr_C_S', 'fr_HOCCN', 'fr_Imine', 'fr_NH0', 'fr_NH1', 'fr_NH2', 'fr_N_O', 'fr_Ndealkylation1', 'fr_Ndealkylation2', 'fr_SH', 'fr_aldehyde', 'fr_alkyl_carbamate', 'fr_alkyl_halide', 'fr_allylic_oxid', 'fr_amidine', 'fr_aniline', 'fr_aryl_methyl', 'fr_azide', 'fr_azo', 'fr_barbitur', 'fr_benzodiazepine', 'fr_bicyclic', 'fr_diazo', 'fr_dihydropyridine', 'fr_epoxide', 'fr_ester', 'fr_ether', 'fr_furan', 'fr_guanido', 'fr_halogen', 'fr_hdrzine', 'fr_hdrzone', 'fr_imidazole', 'fr_isocyan', 'fr_isothiocyan', 'fr_ketone', 'fr_ketone_Topliss', 'fr_lactam', 'fr_lactone', 'fr_methoxy', 'fr_morpholine', 'fr_nitro', 'fr_nitroso', 'fr_oxazole', 'fr_oxime', 'fr_para_hydroxylation', 'fr_phos_acid', 'fr_phos_ester', 'fr_piperdine', 'fr_piperzine', 'fr_priamide', 'fr_prisulfonamd', 'fr_pyridine', 'fr_quatN', 'fr_sulfide', 'fr_sulfonamd', 'fr_sulfone', 'fr_term_acetylene', 'fr_tetrazole', 'fr_thiazole', 'fr_thiocyan', 'fr_thiophene', 'fr_unbrch_alkane', 'fr_urea']"
-0.194,0.9513622828112196,0.6493343729327314,143,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SPS', 'PEOE_VSA2', 'EState_VSA4', 'PEOE_VSA8', 'VSA_EState9', 'Ipc', 'qed', 'BertzCT', 'BCUT2D_MRHI', 'PEOE_VSA3', 'PEOE_VSA7', 'FpDensityMorgan1', 'MinAbsEStateIndex', 'PEOE_VSA9', 'MolLogP', 'BCUT2D_MRLOW', 'SMR_VSA10', 'FpDensityMorgan2', 'MolWt', 'VSA_EState5', 'BCUT2D_MWHI', 'BCUT2D_MWLOW', 'MaxAbsEStateIndex', 'BCUT2D_LOGPLOW', 'EState_VSA7', 'BCUT2D_LOGPHI', 'VSA_EState8', 'BCUT2D_CHGLO', 'EState_VSA5', 'BCUT2D_CHGHI', 'VSA_EState7', 'BalabanJ', 'SMR_VSA7', 'EState_VSA3', 'SMR_VSA1', 'fr_aryl_methyl', 'PEOE_VSA10', 'MinEStateIndex', 'NumAromaticCarbocycles', 'PEOE_VSA6', 'EState_VSA6', 'fr_hdrzone', 'VSA_EState6', 'PEOE_VSA13', 'EState_VSA2', 'SMR_VSA6', 'fr_pyridine', 'MinPartialCharge', 'fr_allylic_oxid', 'PEOE_VSA1', 'MaxPartialCharge', 'SlogP_VSA3', 'fr_ketone_Topliss', 'SlogP_VSA11', 'SMR_VSA2', 'EState_VSA8', 'SlogP_VSA5', 'FractionCSP3', 'SlogP_VSA4', 'EState_VSA9', 'SlogP_VSA10', 'fr_bicyclic', 'SMR_VSA5', 'SMR_VSA9', 'NumHeterocycles', 'fr_Ndealkylation1', 'NumAromaticHeterocycles', 'PEOE_VSA11', 'fr_halogen', 'fr_NH1', 'SlogP_VSA1', 'PEOE_VSA12', 'fr_NH0', 'NumAromaticRings', 'fr_Ar_N', 'fr_Ndealkylation2', 'fr_C_O', 'fr_urea', 'fr_furan', 'fr_piperdine', 'fr_methoxy', 'PEOE_VSA14', 'fr_HOCCN', 'NumUnspecifiedAtomStereoCenters', 'fr_Ar_NH', 'fr_para_hydroxylation', 'fr_ether', 'RingCount', 'PEOE_VSA4', 'SlogP_VSA12', 'fr_ester', 'fr_sulfonamd', 'fr_aniline', 'fr_thiazole', 'fr_ketone', 'fr_unbrch_alkane', 'PEOE_VSA5', 'SlogP_VSA7', 'fr_imidazole', 'fr_barbitur', 'NumAliphaticHeterocycles', 'fr_alkyl_halide', 'fr_Ar_OH', 'fr_piperzine', 'fr_lactone', 'fr_morpholine', 'EState_VSA11', 'fr_dihydropyridine', 'fr_Al_COO', 'fr_thiophene', 'fr_ArN', 'fr_sulfide', 'NumBridgeheadAtoms', 'NumSpiroAtoms', 'fr_N_O', 'fr_term_acetylene', 'fr_nitroso', 'fr_nitro', 'NumRadicalElectrons', 'SMR_VSA8', 'fr_Ar_COO', 'SlogP_VSA9', 'fr_azo', 'fr_diazo', 'fr_alkyl_carbamate', 'fr_aldehyde', 'fr_C_S', 'fr_Imine', 'fr_SH', 'fr_azide', 'fr_benzodiazepine', 'fr_amidine']"
-0.19,0.9519153787615152,0.6546675712551024,128,"['HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SPS', 'qed', 'PEOE_VSA2', 'VSA_EState9', 'EState_VSA4', 'BertzCT', 'PEOE_VSA8', 'BCUT2D_MRHI', 'PEOE_VSA7', 'BCUT2D_LOGPHI', 'BalabanJ', 'SMR_VSA10', 'MinAbsEStateIndex', 'FpDensityMorgan2', 'BCUT2D_MWLOW', 'MolLogP', 'BCUT2D_MRLOW', 'PEOE_VSA3', 'MolWt', 'FpDensityMorgan1', 'PEOE_VSA9', 'BCUT2D_MWHI', 'Ipc', 'VSA_EState5', 'BCUT2D_LOGPLOW', 'EState_VSA7', 'BCUT2D_CHGLO', 'BCUT2D_CHGHI', 'VSA_EState7', 'MaxAbsEStateIndex', 'EState_VSA5', 'EState_VSA3', 'SMR_VSA7', 'VSA_EState8', 'MinEStateIndex', 'fr_hdrzone', 'SMR_VSA1', 'PEOE_VSA13', 'fr_aryl_methyl', 'NumAromaticCarbocycles', 'PEOE_VSA6', 'PEOE_VSA10', 'EState_VSA6', 'VSA_EState6', 'fr_pyridine', 'SMR_VSA6', 'EState_VSA2', 'MinPartialCharge', 'fr_ketone_Topliss', 'SlogP_VSA11', 'MaxPartialCharge', 'SlogP_VSA3', 'EState_VSA8', 'FractionCSP3', 'SlogP_VSA5', 'EState_VSA9', 'SlogP_VSA4', 'PEOE_VSA1', 'SMR_VSA5', 'fr_bicyclic', 'SMR_VSA9', 'SlogP_VSA10', 'SMR_VSA2', 'PEOE_VSA11', 'NumHeterocycles', 'SlogP_VSA1', 'fr_Ndealkylation1', 'fr_piperdine', 'PEOE_VSA12', 'fr_allylic_oxid', 'NumAromaticHeterocycles', 'PEOE_VSA5', 'fr_NH1', 'fr_halogen', 'NumAromaticRings', 'fr_NH0', 'fr_HOCCN', 'fr_methoxy', 'RingCount', 'PEOE_VSA14', 'fr_furan', 'fr_C_O', 'fr_Ar_N', 'fr_ether', 'fr_para_hydroxylation', 'fr_Ndealkylation2', 'fr_Ar_NH', 'PEOE_VSA4', 'fr_ester', 'SlogP_VSA12', 'fr_imidazole', 'fr_urea', 'fr_unbrch_alkane', 'fr_aniline', 'fr_thiazole', 'fr_alkyl_halide', 'fr_morpholine', 'NumUnspecifiedAtomStereoCenters', 'fr_sulfonamd', 'fr_ketone', 'NumBridgeheadAtoms', 'fr_Ar_OH', 'NumAliphaticHeterocycles', 'SlogP_VSA7', 'fr_piperzine', 'fr_lactone', 'NumSpiroAtoms', 'fr_barbitur', 'fr_nitro', 'fr_Al_COO', 'EState_VSA11', 'fr_dihydropyridine', 'fr_nitroso', 'fr_thiophene', 'fr_N_O', 'fr_ArN', 'fr_term_acetylene']"
-0.191,0.9517282850087706,0.6527670923185775,115,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SPS', 'qed', 'PEOE_VSA2', 'SMR_VSA10', 'BertzCT', 'EState_VSA4', 'PEOE_VSA8', 'VSA_EState9', 'BCUT2D_MRHI', 'PEOE_VSA7', 'MinAbsEStateIndex', 'MaxAbsEStateIndex', 'FpDensityMorgan2', 'PEOE_VSA3', 'MolLogP', 'BCUT2D_MRLOW', 'PEOE_VSA9', 'BCUT2D_MWHI', 'MolWt', 'BCUT2D_MWLOW', 'BCUT2D_LOGPLOW', 'FpDensityMorgan1', 'EState_VSA7', 'BCUT2D_CHGLO', 'VSA_EState7', 'BalabanJ', 'Ipc', 'VSA_EState5', 'VSA_EState8', 'BCUT2D_CHGHI', 'BCUT2D_LOGPHI', 'NumAromaticCarbocycles', 'SMR_VSA7', 'EState_VSA3', 'SMR_VSA1', 'EState_VSA5', 'EState_VSA6', 'MinEStateIndex', 'MaxPartialCharge', 'fr_aryl_methyl', 'fr_pyridine', 'PEOE_VSA6', 'PEOE_VSA10', 'PEOE_VSA13', 'fr_hdrzone', 'VSA_EState6', 'SMR_VSA6', 'MinPartialCharge', 'fr_ketone_Topliss', 'EState_VSA2', 'fr_allylic_oxid', 'SlogP_VSA5', 'EState_VSA8', 'SlogP_VSA11', 'SlogP_VSA3', 'SMR_VSA2', 'PEOE_VSA1', 'FractionCSP3', 'SMR_VSA5', 'SlogP_VSA4', 'fr_bicyclic', 'SMR_VSA9', 'NumAromaticHeterocycles', 'EState_VSA9', 'SlogP_VSA10', 'NumHeterocycles', 'PEOE_VSA11', 'fr_Ndealkylation1', 'fr_halogen', 'NumAliphaticHeterocycles', 'fr_NH1', 'PEOE_VSA12', 'fr_piperdine', 'fr_HOCCN', 'NumAromaticRings', 'fr_methoxy', 'fr_NH0', 'fr_Ndealkylation2', 'SlogP_VSA1', 'fr_urea', 'fr_furan', 'PEOE_VSA14', 'fr_Ar_N', 'NumUnspecifiedAtomStereoCenters', 'PEOE_VSA4', 'fr_ether', 'fr_ester', 'fr_para_hydroxylation', 'fr_sulfonamd', 'fr_C_O', 'RingCount', 'fr_Ar_NH', 'SlogP_VSA12', 'fr_alkyl_halide', 'fr_ketone', 'fr_unbrch_alkane', 'fr_thiazole', 'fr_aniline', 'PEOE_VSA5', 'SlogP_VSA7', 'fr_Al_COO', 'fr_morpholine', 'fr_imidazole', 'NumSpiroAtoms']"
-0.193,0.9506749410047112,0.6421174405050192,103,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'fr_NH2', 'VSA_EState1', 'qed', 'VSA_EState3', 'SPS', 'PEOE_VSA2', 'EState_VSA4', 'VSA_EState9', 'PEOE_VSA8', 'BCUT2D_MRHI', 'BertzCT', 'PEOE_VSA3', 'PEOE_VSA7', 'MolWt', 'MolLogP', 'VSA_EState5', 'MinAbsEStateIndex', 'BCUT2D_MRLOW', 'BCUT2D_MWLOW', 'FpDensityMorgan1', 'PEOE_VSA9', 'FpDensityMorgan2', 'Ipc', 'BCUT2D_MWHI', 'BCUT2D_LOGPHI', 'BalabanJ', 'EState_VSA7', 'VSA_EState8', 'BCUT2D_CHGHI', 'EState_VSA5', 'SMR_VSA10', 'BCUT2D_LOGPLOW', 'BCUT2D_CHGLO', 'VSA_EState7', 'SMR_VSA7', 'SMR_VSA1', 'MaxAbsEStateIndex', 'EState_VSA3', 'MaxPartialCharge', 'fr_aryl_methyl', 'MinEStateIndex', 'PEOE_VSA13', 'PEOE_VSA6', 'NumAromaticCarbocycles', 'EState_VSA6', 'PEOE_VSA10', 'VSA_EState6', 'EState_VSA2', 'SMR_VSA6', 'fr_hdrzone', 'SlogP_VSA5', 'fr_pyridine', 'MinPartialCharge', 'fr_NH1', 'fr_ketone_Topliss', 'FractionCSP3', 'SlogP_VSA3', 'SlogP_VSA11', 'EState_VSA9', 'PEOE_VSA1', 'EState_VSA8', 'SlogP_VSA4', 'fr_bicyclic', 'SlogP_VSA1', 'SMR_VSA5', 'fr_allylic_oxid', 'NumAliphaticHeterocycles', 'SlogP_VSA10', 'NumAromaticHeterocycles', 'SMR_VSA2', 'NumHeterocycles', 'PEOE_VSA12', 'fr_halogen', 'SMR_VSA9', 'PEOE_VSA11', 'fr_Ndealkylation1', 'fr_Ar_N', 'fr_piperdine', 'PEOE_VSA14', 'NumAromaticRings', 'fr_NH0', 'fr_furan', 'fr_methoxy', 'fr_Ndealkylation2', 'RingCount', 'fr_ether', 'fr_para_hydroxylation', 'PEOE_VSA4', 'fr_Ar_NH', 'fr_urea', 'fr_ester', 'fr_imidazole', 'fr_HOCCN', 'SlogP_VSA12', 'fr_alkyl_halide']"
-0.191,0.9517029046766919,0.6525762227680428,92,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'fr_NH2', 'VSA_EState1', 'VSA_EState3', 'SMR_VSA10', 'EState_VSA4', 'PEOE_VSA2', 'SPS', 'qed', 'PEOE_VSA8', 'VSA_EState9', 'BCUT2D_MRHI', 'BertzCT', 'PEOE_VSA7', 'VSA_EState5', 'Ipc', 'BCUT2D_LOGPHI', 'BCUT2D_MRLOW', 'BCUT2D_MWHI', 'MolLogP', 'PEOE_VSA9', 'FpDensityMorgan2', 'PEOE_VSA3', 'MaxAbsEStateIndex', 'MinAbsEStateIndex', 'FpDensityMorgan1', 'BCUT2D_CHGLO', 'BCUT2D_MWLOW', 'EState_VSA7', 'MolWt', 'EState_VSA3', 'VSA_EState8', 'VSA_EState7', 'BCUT2D_LOGPLOW', 'BCUT2D_CHGHI', 'SMR_VSA7', 'EState_VSA5', 'PEOE_VSA10', 'SMR_VSA1', 'MinEStateIndex', 'PEOE_VSA6', 'EState_VSA6', 'fr_aryl_methyl', 'NumAromaticCarbocycles', 'fr_hdrzone', 'fr_pyridine', 'EState_VSA2', 'PEOE_VSA13', 'BalabanJ', 'MinPartialCharge', 'SMR_VSA6', 'VSA_EState6', 'PEOE_VSA1', 'MaxPartialCharge', 'fr_ketone_Topliss', 'EState_VSA8', 'SlogP_VSA11', 'FractionCSP3', 'SlogP_VSA5', 'SlogP_VSA3', 'SlogP_VSA4', 'NumAromaticHeterocycles', 'fr_allylic_oxid', 'fr_bicyclic', 'EState_VSA9', 'SlogP_VSA10', 'PEOE_VSA12', 'SMR_VSA5', 'NumHeterocycles', 'SMR_VSA2', 'SMR_VSA9', 'fr_Ndealkylation1', 'PEOE_VSA11', 'PEOE_VSA14', 'fr_halogen', 'fr_piperdine', 'SlogP_VSA1', 'NumAromaticRings', 'fr_NH0', 'fr_NH1', 'NumAliphaticHeterocycles', 'fr_Ndealkylation2', 'fr_furan', 'fr_methoxy', 'fr_HOCCN']"
-0.193,0.9501615471952128,0.6396801681051241,82,"['HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'VSA_EState1', 'fr_NH2', 'VSA_EState3', 'SPS', 'qed', 'PEOE_VSA2', 'EState_VSA4', 'PEOE_VSA8', 'BalabanJ', 'VSA_EState9', 'BCUT2D_MRHI', 'PEOE_VSA7', 'SMR_VSA10', 'BertzCT', 'MolWt', 'FpDensityMorgan2', 'MinAbsEStateIndex', 'BCUT2D_MWLOW', 'VSA_EState5', 'MolLogP', 'BCUT2D_MRLOW', 'Ipc', 'PEOE_VSA9', 'BCUT2D_MWHI', 'BCUT2D_CHGLO', 'PEOE_VSA3', 'BCUT2D_LOGPHI', 'BCUT2D_LOGPLOW', 'FpDensityMorgan1', 'VSA_EState7', 'EState_VSA7', 'MaxAbsEStateIndex', 'EState_VSA3', 'BCUT2D_CHGHI', 'VSA_EState8', 'SMR_VSA7', 'EState_VSA5', 'SMR_VSA1', 'PEOE_VSA6', 'fr_hdrzone', 'MinEStateIndex', 'NumAromaticCarbocycles', 'fr_aryl_methyl', 'EState_VSA6', 'PEOE_VSA10', 'PEOE_VSA13', 'MaxPartialCharge', 'VSA_EState6', 'EState_VSA2', 'SMR_VSA6', 'fr_pyridine', 'EState_VSA8', 'fr_ketone_Topliss', 'MinPartialCharge', 'SlogP_VSA3', 'SMR_VSA2', 'SlogP_VSA11', 'fr_allylic_oxid', 'SlogP_VSA5', 'NumAromaticHeterocycles', 'EState_VSA9', 'PEOE_VSA1', 'FractionCSP3', 'SMR_VSA5', 'fr_NH1', 'fr_bicyclic', 'SlogP_VSA4', 'SlogP_VSA10', 'NumHeterocycles', 'fr_Ndealkylation1', 'SMR_VSA9', 'PEOE_VSA12', 'fr_halogen', 'SlogP_VSA1']"
-0.196,0.9503884193929788,0.6410241561783119,73,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'fr_NH2', 'NumAmideBonds', 'VSA_EState1', 'BertzCT', 'VSA_EState3', 'EState_VSA4', 'SPS', 'PEOE_VSA2', 'qed', 'VSA_EState9', 'PEOE_VSA8', 'BCUT2D_MRHI', 'SMR_VSA10', 'PEOE_VSA7', 'FpDensityMorgan1', 'PEOE_VSA3', 'BCUT2D_LOGPHI', 'BCUT2D_MRLOW', 'MolLogP', 'MaxAbsEStateIndex', 'MinAbsEStateIndex', 'BCUT2D_MWLOW', 'BCUT2D_CHGLO', 'PEOE_VSA9', 'VSA_EState5', 'BCUT2D_MWHI', 'Ipc', 'FpDensityMorgan2', 'BCUT2D_LOGPLOW', 'MolWt', 'VSA_EState7', 'BalabanJ', 'EState_VSA7', 'EState_VSA3', 'VSA_EState8', 'BCUT2D_CHGHI', 'SMR_VSA7', 'MinEStateIndex', 'EState_VSA5', 'MaxPartialCharge', 'PEOE_VSA6', 'SMR_VSA1', 'fr_hdrzone', 'PEOE_VSA13', 'PEOE_VSA10', 'VSA_EState6', 'fr_aryl_methyl', 'NumAromaticCarbocycles', 'SMR_VSA6', 'fr_pyridine', 'MinPartialCharge', 'EState_VSA2', 'EState_VSA6', 'fr_ketone_Topliss', 'SlogP_VSA11', 'EState_VSA8', 'SlogP_VSA4', 'FractionCSP3', 'PEOE_VSA1', 'SMR_VSA5', 'SlogP_VSA10', 'SlogP_VSA3', 'SlogP_VSA5', 'PEOE_VSA12', 'fr_bicyclic', 'EState_VSA9']"
-0.194,0.9508331385751962,0.6431712340604523,65,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'fr_NH2', 'NumAmideBonds', 'VSA_EState1', 'VSA_EState3', 'SPS', 'PEOE_VSA2', 'EState_VSA4', 'qed', 'VSA_EState9', 'PEOE_VSA8', 'BCUT2D_MRHI', 'PEOE_VSA3', 'PEOE_VSA7', 'BertzCT', 'VSA_EState5', 'SMR_VSA10', 'FpDensityMorgan2', 'MinAbsEStateIndex', 'BCUT2D_MWLOW', 'MolLogP', 'BCUT2D_MRLOW', 'BCUT2D_MWHI', 'BCUT2D_LOGPHI', 'PEOE_VSA9', 'BCUT2D_CHGLO', 'FpDensityMorgan1', 'VSA_EState7', 'BCUT2D_LOGPLOW', 'EState_VSA7', 'BalabanJ', 'MolWt', 'Ipc', 'BCUT2D_CHGHI', 'EState_VSA3', 'MaxAbsEStateIndex', 'SMR_VSA7', 'EState_VSA5', 'MaxPartialCharge', 'VSA_EState8', 'MinEStateIndex', 'NumAromaticCarbocycles', 'SMR_VSA6', 'fr_hdrzone', 'PEOE_VSA13', 'VSA_EState6', 'PEOE_VSA6', 'PEOE_VSA10', 'fr_aryl_methyl', 'SMR_VSA1', 'EState_VSA6', 'EState_VSA2', 'MinPartialCharge', 'fr_pyridine', 'fr_ketone_Topliss', 'SlogP_VSA11', 'SlogP_VSA5', 'FractionCSP3', 'EState_VSA8']"
-0.195,0.9508648937206153,0.6436081832831568,58,"['HallKierAlpha', 'TPSA', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState4', 'NumAmideBonds', 'fr_NH2', 'VSA_EState1', 'qed', 'VSA_EState3', 'SPS', 'EState_VSA4', 'VSA_EState9', 'PEOE_VSA2', 'BertzCT', 'PEOE_VSA8', 'SMR_VSA10', 'PEOE_VSA7', 'VSA_EState5', 'BCUT2D_MRHI', 'BalabanJ', 'MolLogP', 'PEOE_VSA3', 'FpDensityMorgan1', 'BCUT2D_MRLOW', 'BCUT2D_MWLOW', 'BCUT2D_MWHI', 'PEOE_VSA9', 'MinAbsEStateIndex', 'BCUT2D_LOGPHI', 'FpDensityMorgan2', 'VSA_EState7', 'BCUT2D_LOGPLOW', 'BCUT2D_CHGLO', 'EState_VSA7', 'Ipc', 'EState_VSA5', 'EState_VSA3', 'SMR_VSA7', 'MolWt', 'BCUT2D_CHGHI', 'SMR_VSA1', 'MaxAbsEStateIndex', 'NumAromaticCarbocycles', 'VSA_EState8', 'MinEStateIndex', 'PEOE_VSA10', 'PEOE_VSA6', 'fr_hdrzone', 'PEOE_VSA13', 'VSA_EState6', 'fr_pyridine', 'fr_aryl_methyl', 'FractionCSP3', 'SMR_VSA6', 'EState_VSA6']"
