,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.19,0.651
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.651
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.645
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.645
"('AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.644
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.642
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.19,0.641
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.639
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.638
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.19,0.637
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.2,0.637
"('AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.636
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",-0.2,0.635
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.21,0.635
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.634
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState1')",-0.21,0.634
"('AvgIpc', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'SPS')",-0.19,0.633
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS', 'VSA_EState1')",-0.2,0.633
