mse,r2,oob,tunnuste_arv,tunnused
-0.187,0.9526632543870188,0.648,159,"['MaxAbsEStateIndex', 'MinAbsEStateIndex', 'MinEStateIndex', 'qed', 'SPS', 'MolWt', 'NumRadicalElectrons', 'MaxPartialCharge', 'MinPartialCharge', 'FpDensityMorgan1', 'FpDensityMorgan2', 'BCUT2D_MWHI', 'BCUT2D_MWLOW', 'BCUT2D_CHGHI', 'BCUT2D_CHGLO', 'BCUT2D_LOGPHI', 'BCUT2D_LOGPLOW', 'BCUT2D_MRHI', 'BCUT2D_MRLOW', 'AvgIpc', 'BalabanJ', 'BertzCT', 'HallKierAlpha', 'Ipc', 'PEOE_VSA1', 'PEOE_VSA10', 'PEOE_VSA11', 'PEOE_VSA12', 'PEOE_VSA13', 'PEOE_VSA14', 'PEOE_VSA2', 'PEOE_VSA3', 'PEOE_VSA4', 'PEOE_VSA5', 'PEOE_VSA6', 'PEOE_VSA7', 'PEOE_VSA8', 'PEOE_VSA9', 'SMR_VSA1', 'SMR_VSA10', 'SMR_VSA2', 'SMR_VSA3', 'SMR_VSA5', 'SMR_VSA6', 'SMR_VSA7', 'SMR_VSA8', 'SMR_VSA9', 'SlogP_VSA1', 'SlogP_VSA10', 'SlogP_VSA11', 'SlogP_VSA12', 'SlogP_VSA3', 'SlogP_VSA4', 'SlogP_VSA5', 'SlogP_VSA7', 'SlogP_VSA8', 'SlogP_VSA9', 'TPSA', 'EState_VSA11', 'EState_VSA2', 'EState_VSA3', 'EState_VSA4', 'EState_VSA5', 'EState_VSA6', 'EState_VSA7', 'EState_VSA8', 'EState_VSA9', 'VSA_EState1', 'VSA_EState2', 'VSA_EState3', 'VSA_EState4', 'VSA_EState5', 'VSA_EState6', 'VSA_EState7', 'VSA_EState8', 'VSA_EState9', 'FractionCSP3', 'NumAliphaticHeterocycles', 'NumAmideBonds', 'NumAromaticCarbocycles', 'NumAromaticHeterocycles', 'NumAromaticRings', 'NumBridgeheadAtoms', 'NumHeterocycles', 'NumSpiroAtoms', 'NumUnspecifiedAtomStereoCenters', 'RingCount', 'MolLogP', 'fr_Al_COO', 'fr_ArN', 'fr_Ar_COO', 'fr_Ar_N', 'fr_Ar_NH', 'fr_Ar_OH', 'fr_C_O', 'fr_C_S', 'fr_HOCCN', 'fr_Imine', 'fr_NH0', 'fr_NH1', 'fr_NH2', 'fr_N_O', 'fr_Ndealkylation1', 'fr_Ndealkylation2', 'fr_SH', 'fr_aldehyde', 'fr_alkyl_carbamate', 'fr_alkyl_halide', 'fr_allylic_oxid', 'fr_amidine', 'fr_aniline', 'fr_aryl_methyl', 'fr_azide', 'fr_azo', 'fr_barbitur', 'fr_benzodiazepine', 'fr_bicyclic', 'fr_diazo', 'fr_dihydropyridine', 'fr_epoxide', 'fr_ester', 'fr_ether', 'fr_furan', 'fr_guanido', 'fr_halogen', 'fr_hdrzine', 'fr_hdrzone', 'fr_imidazole', 'fr_isocyan', 'fr_isothiocyan', 'fr_ketone', 'fr_ketone_Topliss', 'fr_lactam', 'fr_lactone', 'fr_methoxy', 'fr_morpholine', 'fr_nitro', 'fr_nitroso', 'fr_oxazole', 'fr_oxime', 'fr_para_hydroxylation', 'fr_phos_acid', 'fr_phos_ester', 'fr_piperdine', 'fr_piperzine', 'fr_priamide', 'fr_prisulfonamd', 'fr_pyridine', 'fr_quatN', 'fr_sulfide', 'fr_sulfonamd', 'fr_sulfone', 'fr_term_acetylene', 'fr_tetrazole', 'fr_thiazole', 'fr_thiocyan', 'fr_thiophene', 'fr_unbrch_alkane', 'fr_urea']"
-0.185,0.952985691531969,0.65,143,"['HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT', 'SlogP_VSA8', 'PEOE_VSA8', 'SMR_VSA3', 'VSA_EState4', 'MaxAbsEStateIndex', 'SlogP_VSA1', 'fr_NH2', 'PEOE_VSA2', 'SMR_VSA10', 'MolWt', 'AvgIpc', 'SlogP_VSA11', 'BCUT2D_MRHI', 'VSA_EState1', 'SMR_VSA9', 'SMR_VSA6', 'BalabanJ', 'Ipc', 'BCUT2D_CHGLO', 'BCUT2D_LOGPHI', 'BCUT2D_MRLOW', 'VSA_EState9', 'PEOE_VSA7', 'SPS', 'qed', 'NumAromaticRings', 'BCUT2D_CHGHI', 'NumAromaticCarbocycles', 'BCUT2D_MWLOW', 'VSA_EState3', 'VSA_EState5', 'EState_VSA3', 'SMR_VSA7', 'MolLogP', 'EState_VSA4', 'MinEStateIndex', 'PEOE_VSA3', 'FpDensityMorgan2', 'FractionCSP3', 'BCUT2D_MWHI', 'VSA_EState7', 'BCUT2D_LOGPLOW', 'SMR_VSA2', 'MinAbsEStateIndex', 'PEOE_VSA13', 'VSA_EState6', 'SMR_VSA1', 'NumAmideBonds', 'MinPartialCharge', 'fr_pyridine', 'PEOE_VSA1', 'FpDensityMorgan1', 'fr_NH0', 'fr_methoxy', 'EState_VSA5', 'EState_VSA7', 'VSA_EState8', 'EState_VSA2', 'MaxPartialCharge', 'SMR_VSA5', 'PEOE_VSA6', 'SlogP_VSA5', 'SlogP_VSA3', 'EState_VSA8', 'SlogP_VSA10', 'PEOE_VSA9', 'PEOE_VSA10', 'EState_VSA9', 'PEOE_VSA12', 'EState_VSA6', 'fr_bicyclic', 'fr_Ar_N', 'SlogP_VSA4', 'PEOE_VSA11', 'NumAromaticHeterocycles', 'fr_ether', 'NumHeterocycles', 'fr_NH1', 'fr_hdrzone', 'fr_allylic_oxid', 'fr_halogen', 'RingCount', 'fr_C_O', 'NumUnspecifiedAtomStereoCenters', 'fr_Ar_OH', 'fr_aryl_methyl', 'fr_Ndealkylation1', 'fr_aniline', 'PEOE_VSA14', 'fr_HOCCN', 'PEOE_VSA5', 'NumAliphaticHeterocycles', 'PEOE_VSA4', 'EState_VSA11', 'fr_para_hydroxylation', 'fr_ketone_Topliss', 'fr_piperdine', 'fr_Ndealkylation2', 'SlogP_VSA12', 'fr_urea', 'fr_sulfonamd', 'fr_nitro', 'fr_thiazole', 'fr_unbrch_alkane', 'fr_ester', 'fr_imidazole', 'fr_ketone', 'fr_ArN', 'fr_morpholine', 'SlogP_VSA7', 'fr_Ar_NH', 'fr_piperzine', 'fr_thiophene', 'fr_lactone', 'fr_alkyl_halide', 'fr_furan', 'fr_N_O', 'fr_Al_COO', 'fr_nitroso', 'fr_barbitur', 'NumBridgeheadAtoms', 'NumSpiroAtoms', 'fr_sulfide', 'fr_term_acetylene', 'fr_dihydropyridine', 'fr_guanido', 'NumRadicalElectrons', 'fr_Ar_COO', 'SlogP_VSA9', 'SMR_VSA8', 'fr_diazo', 'fr_alkyl_carbamate', 'fr_aldehyde', 'fr_C_S', 'fr_Imine', 'fr_azo', 'fr_azide', 'fr_SH', 'fr_amidine']"
-0.187,0.9531067261836467,0.65,128,"['VSA_EState2', 'HallKierAlpha', 'SMR_VSA3', 'TPSA', 'SlogP_VSA8', 'SlogP_VSA1', 'VSA_EState4', 'BertzCT', 'SMR_VSA9', 'AvgIpc', 'fr_NH2', 'PEOE_VSA8', 'MolWt', 'BCUT2D_MRHI', 'BalabanJ', 'Ipc', 'NumAromaticRings', 'VSA_EState1', 'SPS', 'PEOE_VSA2', 'SMR_VSA10', 'SlogP_VSA11', 'VSA_EState9', 'NumAromaticCarbocycles', 'MaxAbsEStateIndex', 'BCUT2D_LOGPHI', 'SMR_VSA6', 'BCUT2D_MRLOW', 'BCUT2D_CHGLO', 'PEOE_VSA13', 'EState_VSA3', 'PEOE_VSA7', 'qed', 'SMR_VSA7', 'BCUT2D_MWLOW', 'MolLogP', 'VSA_EState5', 'PEOE_VSA3', 'MinEStateIndex', 'fr_methoxy', 'VSA_EState3', 'MinAbsEStateIndex', 'BCUT2D_MWHI', 'fr_pyridine', 'BCUT2D_CHGHI', 'VSA_EState6', 'FractionCSP3', 'VSA_EState7', 'MaxPartialCharge', 'MinPartialCharge', 'SMR_VSA1', 'SlogP_VSA10', 'FpDensityMorgan2', 'fr_NH0', 'EState_VSA4', 'BCUT2D_LOGPLOW', 'NumAmideBonds', 'VSA_EState8', 'SMR_VSA5', 'FpDensityMorgan1', 'EState_VSA7', 'PEOE_VSA1', 'PEOE_VSA10', 'fr_bicyclic', 'EState_VSA5', 'EState_VSA2', 'PEOE_VSA9', 'EState_VSA8', 'PEOE_VSA6', 'SlogP_VSA5', 'EState_VSA6', 'SlogP_VSA3', 'fr_ether', 'PEOE_VSA12', 'NumHeterocycles', 'NumAromaticHeterocycles', 'SMR_VSA2', 'fr_Ar_N', 'PEOE_VSA11', 'SlogP_VSA4', 'EState_VSA9', 'fr_NH1', 'RingCount', 'fr_allylic_oxid', 'PEOE_VSA4', 'fr_aryl_methyl', 'fr_C_O', 'fr_hdrzone', 'fr_aniline', 'NumAliphaticHeterocycles', 'fr_halogen', 'fr_Ndealkylation1', 'fr_Ar_OH', 'NumUnspecifiedAtomStereoCenters', 'PEOE_VSA5', 'PEOE_VSA14', 'fr_sulfonamd', 'SlogP_VSA12', 'fr_para_hydroxylation', 'fr_ketone_Topliss', 'fr_piperdine', 'fr_Ndealkylation2', 'EState_VSA11', 'fr_ester', 'fr_HOCCN', 'fr_ArN', 'fr_ketone', 'fr_urea', 'fr_morpholine', 'fr_nitro', 'fr_Ar_NH', 'fr_thiazole', 'SlogP_VSA7', 'fr_imidazole', 'fr_furan', 'fr_unbrch_alkane', 'fr_alkyl_halide', 'fr_piperzine', 'NumBridgeheadAtoms', 'NumSpiroAtoms', 'fr_nitroso', 'fr_thiophene', 'fr_Al_COO', 'fr_lactone', 'fr_barbitur', 'fr_dihydropyridine', 'fr_N_O', 'fr_term_acetylene']"
-0.189,0.9529204228247653,0.65,115,"['VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3', 'VSA_EState4', 'SlogP_VSA8', 'AvgIpc', 'BCUT2D_MRHI', 'SMR_VSA9', 'PEOE_VSA8', 'BertzCT', 'MaxAbsEStateIndex', 'SlogP_VSA1', 'fr_NH2', 'NumAromaticRings', 'BCUT2D_MRLOW', 'Ipc', 'PEOE_VSA2', 'MolWt', 'SlogP_VSA11', 'SMR_VSA6', 'SMR_VSA10', 'BalabanJ', 'VSA_EState1', 'BCUT2D_LOGPHI', 'PEOE_VSA7', 'PEOE_VSA13', 'BCUT2D_CHGLO', 'VSA_EState9', 'NumAromaticCarbocycles', 'SPS', 'qed', 'fr_pyridine', 'BCUT2D_MWLOW', 'MinEStateIndex', 'FractionCSP3', 'PEOE_VSA3', 'EState_VSA4', 'MolLogP', 'SMR_VSA7', 'BCUT2D_MWHI', 'NumAmideBonds', 'BCUT2D_LOGPLOW', 'BCUT2D_CHGHI', 'VSA_EState3', 'EState_VSA3', 'VSA_EState5', 'fr_NH0', 'MinAbsEStateIndex', 'FpDensityMorgan2', 'fr_methoxy', 'MinPartialCharge', 'EState_VSA2', 'SMR_VSA1', 'VSA_EState6', 'VSA_EState7', 'MaxPartialCharge', 'EState_VSA8', 'EState_VSA7', 'FpDensityMorgan1', 'PEOE_VSA10', 'VSA_EState8', 'PEOE_VSA9', 'SlogP_VSA5', 'PEOE_VSA1', 'SlogP_VSA3', 'PEOE_VSA6', 'EState_VSA5', 'PEOE_VSA12', 'SlogP_VSA10', 'fr_ether', 'SMR_VSA5', 'SlogP_VSA4', 'EState_VSA9', 'fr_Ar_N', 'NumAromaticHeterocycles', 'SMR_VSA2', 'EState_VSA6', 'NumHeterocycles', 'fr_bicyclic', 'fr_NH1', 'fr_allylic_oxid', 'PEOE_VSA11', 'fr_C_O', 'RingCount', 'fr_aniline', 'fr_Ndealkylation1', 'PEOE_VSA4', 'fr_aryl_methyl', 'NumAliphaticHeterocycles', 'fr_Ar_OH', 'fr_halogen', 'PEOE_VSA5', 'fr_ketone_Topliss', 'fr_hdrzone', 'EState_VSA11', 'fr_piperdine', 'fr_sulfonamd', 'PEOE_VSA14', 'NumUnspecifiedAtomStereoCenters', 'fr_para_hydroxylation', 'fr_Ndealkylation2', 'SlogP_VSA12', 'fr_urea', 'fr_imidazole', 'fr_HOCCN', 'fr_ester', 'fr_nitro', 'fr_thiazole', 'fr_morpholine', 'SlogP_VSA7', 'fr_Ar_NH', 'fr_ArN', 'fr_ketone', 'fr_alkyl_halide']"
-0.187,0.9533016721457707,0.653,103,"['HallKierAlpha', 'SlogP_VSA8', 'VSA_EState2', 'TPSA', 'SMR_VSA3', 'SMR_VSA9', 'BertzCT', 'VSA_EState4', 'PEOE_VSA8', 'AvgIpc', 'Ipc', 'MaxAbsEStateIndex', 'fr_NH2', 'NumAromaticRings', 'BCUT2D_MRHI', 'PEOE_VSA2', 'BalabanJ', 'SlogP_VSA1', 'SMR_VSA10', 'MolWt', 'BCUT2D_CHGLO', 'NumAromaticCarbocycles', 'SMR_VSA6', 'VSA_EState9', 'BCUT2D_LOGPHI', 'VSA_EState1', 'qed', 'BCUT2D_MRLOW', 'SPS', 'SMR_VSA7', 'PEOE_VSA7', 'SlogP_VSA11', 'BCUT2D_MWLOW', 'MinEStateIndex', 'BCUT2D_LOGPLOW', 'PEOE_VSA3', 'EState_VSA3', 'VSA_EState3', 'BCUT2D_CHGHI', 'fr_pyridine', 'MinAbsEStateIndex', 'PEOE_VSA13', 'NumAmideBonds', 'EState_VSA4', 'VSA_EState5', 'MolLogP', 'FractionCSP3', 'BCUT2D_MWHI', 'VSA_EState7', 'VSA_EState6', 'FpDensityMorgan2', 'SMR_VSA1', 'MaxPartialCharge', 'FpDensityMorgan1', 'MinPartialCharge', 'EState_VSA7', 'PEOE_VSA9', 'fr_NH0', 'PEOE_VSA12', 'SMR_VSA2', 'VSA_EState8', 'SMR_VSA5', 'fr_methoxy', 'PEOE_VSA6', 'EState_VSA2', 'SlogP_VSA10', 'EState_VSA5', 'PEOE_VSA10', 'SlogP_VSA5', 'PEOE_VSA1', 'EState_VSA8', 'fr_bicyclic', 'SlogP_VSA3', 'fr_Ar_N', 'NumHeterocycles', 'EState_VSA6', 'EState_VSA9', 'SlogP_VSA4', 'fr_NH1', 'fr_ether', 'RingCount', 'PEOE_VSA11', 'NumAromaticHeterocycles', 'fr_halogen', 'fr_hdrzone', 'fr_Ndealkylation1', 'fr_allylic_oxid', 'NumAliphaticHeterocycles', 'fr_C_O', 'fr_aryl_methyl', 'fr_Ar_OH', 'NumUnspecifiedAtomStereoCenters', 'fr_ketone_Topliss', 'PEOE_VSA4', 'fr_Ndealkylation2', 'fr_aniline', 'fr_piperdine', 'PEOE_VSA5', 'fr_sulfonamd', 'PEOE_VSA14', 'fr_urea', 'fr_HOCCN', 'SlogP_VSA12']"
-0.185,0.9535295190632017,0.654,92,"['VSA_EState2', 'TPSA', 'HallKierAlpha', 'SMR_VSA3', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'PEOE_VSA8', 'SlogP_VSA1', 'fr_NH2', 'SMR_VSA9', 'SlogP_VSA11', 'NumAromaticRings', 'PEOE_VSA2', 'BCUT2D_MRHI', 'VSA_EState1', 'SMR_VSA10', 'BCUT2D_CHGLO', 'MaxAbsEStateIndex', 'AvgIpc', 'SMR_VSA6', 'Ipc', 'BCUT2D_MRLOW', 'VSA_EState9', 'SPS', 'BalabanJ', 'NumAromaticCarbocycles', 'qed', 'BCUT2D_MWLOW', 'MolWt', 'SMR_VSA7', 'BCUT2D_LOGPHI', 'FractionCSP3', 'BCUT2D_MWHI', 'MinAbsEStateIndex', 'PEOE_VSA7', 'VSA_EState3', 'PEOE_VSA3', 'MolLogP', 'fr_pyridine', 'MaxPartialCharge', 'PEOE_VSA13', 'EState_VSA4', 'VSA_EState7', 'EState_VSA3', 'MinEStateIndex', 'VSA_EState5', 'FpDensityMorgan2', 'BCUT2D_CHGHI', 'BCUT2D_LOGPLOW', 'VSA_EState6', 'EState_VSA7', 'NumAmideBonds', 'fr_NH0', 'SMR_VSA1', 'MinPartialCharge', 'fr_methoxy', 'SlogP_VSA5', 'SMR_VSA5', 'PEOE_VSA1', 'PEOE_VSA9', 'EState_VSA2', 'FpDensityMorgan1', 'PEOE_VSA6', 'EState_VSA8', 'SMR_VSA2', 'VSA_EState8', 'PEOE_VSA10', 'EState_VSA5', 'SlogP_VSA10', 'fr_bicyclic', 'PEOE_VSA12', 'EState_VSA6', 'EState_VSA9', 'fr_Ar_N', 'fr_ether', 'NumAromaticHeterocycles', 'fr_allylic_oxid', 'SlogP_VSA4', 'SlogP_VSA3', 'fr_NH1', 'PEOE_VSA11', 'fr_Ndealkylation1', 'NumUnspecifiedAtomStereoCenters', 'NumHeterocycles', 'fr_hdrzone', 'fr_aryl_methyl', 'fr_halogen', 'fr_aniline', 'fr_C_O', 'RingCount', 'fr_Ar_OH']"
-0.187,0.9528705308859247,0.648,82,"['HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState4', 'BertzCT', 'SMR_VSA9', 'MaxAbsEStateIndex', 'fr_NH2', 'SlogP_VSA1', 'PEOE_VSA8', 'BCUT2D_CHGLO', 'AvgIpc', 'SMR_VSA10', 'BCUT2D_MRHI', 'PEOE_VSA2', 'NumAromaticCarbocycles', 'NumAromaticRings', 'VSA_EState1', 'SMR_VSA6', 'VSA_EState9', 'MolWt', 'Ipc', 'SPS', 'BCUT2D_MRLOW', 'qed', 'BCUT2D_LOGPHI', 'PEOE_VSA13', 'BalabanJ', 'VSA_EState5', 'SlogP_VSA11', 'BCUT2D_MWLOW', 'VSA_EState3', 'PEOE_VSA3', 'fr_pyridine', 'BCUT2D_LOGPLOW', 'PEOE_VSA7', 'SMR_VSA7', 'BCUT2D_MWHI', 'MolLogP', 'FractionCSP3', 'MinAbsEStateIndex', 'VSA_EState7', 'MinPartialCharge', 'EState_VSA4', 'BCUT2D_CHGHI', 'EState_VSA3', 'FpDensityMorgan2', 'MinEStateIndex', 'FpDensityMorgan1', 'NumAmideBonds', 'MaxPartialCharge', 'VSA_EState6', 'PEOE_VSA9', 'PEOE_VSA6', 'EState_VSA7', 'SMR_VSA1', 'EState_VSA2', 'VSA_EState8', 'EState_VSA8', 'fr_methoxy', 'SlogP_VSA10', 'EState_VSA5', 'fr_NH0', 'SMR_VSA2', 'fr_bicyclic', 'PEOE_VSA1', 'SlogP_VSA5', 'PEOE_VSA12', 'SMR_VSA5', 'SlogP_VSA3', 'EState_VSA6', 'NumHeterocycles', 'PEOE_VSA10', 'EState_VSA9', 'NumAromaticHeterocycles', 'SlogP_VSA4', 'fr_allylic_oxid', 'fr_Ar_N', 'fr_ether', 'PEOE_VSA11']"
-0.189,0.9534249973423362,0.654,73,"['HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState4', 'BertzCT', 'SlogP_VSA1', 'AvgIpc', 'fr_NH2', 'PEOE_VSA8', 'PEOE_VSA2', 'BCUT2D_MRHI', 'SMR_VSA9', 'MaxAbsEStateIndex', 'VSA_EState1', 'SMR_VSA10', 'SlogP_VSA11', 'BCUT2D_CHGLO', 'Ipc', 'MolWt', 'fr_pyridine', 'BalabanJ', 'VSA_EState5', 'SPS', 'VSA_EState9', 'BCUT2D_MRLOW', 'NumAromaticCarbocycles', 'PEOE_VSA3', 'NumAromaticRings', 'SMR_VSA6', 'BCUT2D_MWLOW', 'qed', 'BCUT2D_LOGPHI', 'SMR_VSA7', 'MinEStateIndex', 'PEOE_VSA7', 'EState_VSA4', 'PEOE_VSA13', 'BCUT2D_CHGHI', 'fr_NH0', 'BCUT2D_LOGPLOW', 'FpDensityMorgan2', 'BCUT2D_MWHI', 'NumAmideBonds', 'VSA_EState3', 'MolLogP', 'VSA_EState7', 'FractionCSP3', 'SMR_VSA1', 'MaxPartialCharge', 'MinAbsEStateIndex', 'PEOE_VSA9', 'MinPartialCharge', 'EState_VSA3', 'PEOE_VSA12', 'fr_methoxy', 'EState_VSA7', 'EState_VSA8', 'FpDensityMorgan1', 'VSA_EState6', 'PEOE_VSA1', 'EState_VSA5', 'VSA_EState8', 'PEOE_VSA10', 'EState_VSA2', 'PEOE_VSA6', 'SlogP_VSA5', 'SlogP_VSA10', 'EState_VSA6', 'SMR_VSA5', 'fr_Ar_N', 'NumAromaticHeterocycles']"
-0.188,0.9537239066449981,0.656,65,"['HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'PEOE_VSA8', 'SlogP_VSA1', 'BCUT2D_MRHI', 'AvgIpc', 'NumAromaticRings', 'BertzCT', 'SMR_VSA9', 'SMR_VSA10', 'MaxAbsEStateIndex', 'PEOE_VSA2', 'fr_NH2', 'BCUT2D_MRLOW', 'BalabanJ', 'BCUT2D_CHGLO', 'Ipc', 'NumAromaticCarbocycles', 'MolWt', 'VSA_EState1', 'BCUT2D_MWLOW', 'SMR_VSA6', 'VSA_EState5', 'SlogP_VSA11', 'VSA_EState9', 'PEOE_VSA3', 'VSA_EState3', 'BCUT2D_LOGPHI', 'qed', 'SPS', 'MinEStateIndex', 'PEOE_VSA7', 'EState_VSA4', 'FractionCSP3', 'SMR_VSA7', 'SMR_VSA1', 'MolLogP', 'EState_VSA3', 'BCUT2D_LOGPLOW', 'BCUT2D_CHGHI', 'MinAbsEStateIndex', 'VSA_EState7', 'BCUT2D_MWHI', 'MaxPartialCharge', 'fr_pyridine', 'FpDensityMorgan2', 'EState_VSA2', 'VSA_EState6', 'fr_methoxy', 'PEOE_VSA9', 'PEOE_VSA13', 'MinPartialCharge', 'NumAmideBonds', 'VSA_EState8', 'EState_VSA7', 'PEOE_VSA1', 'fr_NH0', 'FpDensityMorgan1', 'PEOE_VSA6', 'SlogP_VSA5', 'SlogP_VSA10']"
-0.186,0.9534954305090255,0.654,58,"['VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3', 'SlogP_VSA8', 'BertzCT', 'AvgIpc', 'SMR_VSA9', 'NumAromaticRings', 'VSA_EState4', 'SlogP_VSA1', 'PEOE_VSA8', 'SMR_VSA10', 'BCUT2D_MRHI', 'PEOE_VSA2', 'SlogP_VSA11', 'fr_NH2', 'VSA_EState9', 'MaxAbsEStateIndex', 'SMR_VSA6', 'VSA_EState1', 'PEOE_VSA3', 'Ipc', 'MolWt', 'BCUT2D_MRLOW', 'BalabanJ', 'SPS', 'BCUT2D_LOGPHI', 'BCUT2D_MWLOW', 'qed', 'NumAromaticCarbocycles', 'VSA_EState5', 'BCUT2D_CHGLO', 'PEOE_VSA7', 'SMR_VSA7', 'VSA_EState3', 'PEOE_VSA13', 'EState_VSA3', 'BCUT2D_MWHI', 'MolLogP', 'MaxPartialCharge', 'EState_VSA4', 'BCUT2D_LOGPLOW', 'VSA_EState7', 'FractionCSP3', 'FpDensityMorgan2', 'MinEStateIndex', 'MinAbsEStateIndex', 'BCUT2D_CHGHI', 'PEOE_VSA9', 'fr_NH0', 'SMR_VSA1', 'fr_methoxy', 'MinPartialCharge', 'fr_pyridine', 'NumAmideBonds', 'EState_VSA7', 'VSA_EState8']"
