,nr_tunnused,mse,oob
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'AvgIpc')",5,-0.187,0.643
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'AvgIpc')",6,-0.19,0.637
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",8,-0.21,0.6363857899546558
"('SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.225,0.635
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'AvgIpc')",7,-0.203,0.634
"('SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'AvgIpc')",4,-0.225,0.634
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",7,-0.206,0.631
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",4,-0.188,0.629
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",7,-0.211,0.628
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",5,-0.189,0.627
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'AvgIpc')",6,-0.2,0.627
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.203,0.627
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",7,-0.215,0.626
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.208,0.624
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",5,-0.227,0.624
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",6,-0.203,0.623
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'AvgIpc')",5,-0.205,0.623
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",7,-0.219,0.623
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",5,-0.2,0.622
"('SlogP_VSA8', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",4,-0.209,0.622
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",6,-0.205,0.621
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",6,-0.206,0.621
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.209,0.621
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",7,-0.212,0.621
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.208,0.62
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",5,-0.195,0.619
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.201,0.619
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",5,-0.195,0.618
"('SlogP_VSA8', 'SMR_VSA3')",2,-0.203,0.618
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",7,-0.205,0.618
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'AvgIpc')",5,-0.218,0.618
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.221,0.618
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",6,-0.209,0.616
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",6,-0.209,0.616
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4')",5,-0.196,0.614
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",5,-0.21,0.614
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",5,-0.21,0.614
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.213,0.614
"('VSA_EState2', 'TPSA', 'BertzCT', 'VSA_EState4', 'AvgIpc')",5,-0.201,0.613
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",5,-0.202,0.613
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",4,-0.206,0.611
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.206,0.611
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",4,-0.223,0.611
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",5,-0.206,0.61
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.217,0.608
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3')",4,-0.219,0.608
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3')",6,-0.205,0.607
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",4,-0.209,0.607
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'AvgIpc')",5,-0.214,0.607
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",7,-0.229,0.607
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT')",4,-0.196,0.606
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3')",5,-0.21,0.606
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4')",4,-0.198,0.605
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",5,-0.207,0.605
"('HallKierAlpha', 'TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.226,0.605
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",6,-0.219,0.604
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.233,0.604
"('TPSA', 'BertzCT', 'VSA_EState4', 'AvgIpc')",4,-0.206,0.603
