Molecule ChEMBL ID,Cell Name,Standard Type,Assay,Incubation Time Hours,Property Measured,max,min,mean,median,count
CHEMBL1230609,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.04,5.87,5.98,6.005,4
CHEMBL53463,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,7.1,6.6,6.81,6.73,3
CHEMBL359744,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.82,5.37,6.330000000000001,6.8,3
CHEMBL5618867,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.56,5.27,5.414999999999999,5.414999999999999,2
CHEMBL185,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.25,4.34,4.795,4.795,2
CHEMBL1879463,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.85,5.63,5.74,5.74,2
CHEMBL4862917,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.26,5.1,5.18,5.18,2
CHEMBL4298697,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.36,5.06,5.21,5.21,2
CHEMBL465843,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.79,4.76,4.775,4.775,2
CHEMBL521851,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.91,5.5,5.705,5.705,2
CHEMBL1615189,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.36,5.55,5.955,5.955,2
CHEMBL4649216,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.35,4.35,4.35,4.35,1
CHEMBL4786967,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.6,6.6,6.6,6.6,1
CHEMBL4786939,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.34,6.34,6.34,6.34,1
CHEMBL4786229,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.68,5.68,5.68,5.68,1
CHEMBL4785582,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.8,6.8,6.8,6.8,1
CHEMBL4741412,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.07,5.07,5.07,5.07,1
CHEMBL4784230,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.19,6.19,6.19,6.19,1
CHEMBL4780493,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.97,5.97,5.97,5.97,1
CHEMBL4779569,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.52,6.52,6.52,6.52,1
CHEMBL4779312,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.02,5.02,5.02,5.02,1
CHEMBL4763389,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.73,4.73,4.73,4.73,1
CHEMBL4762880,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.63,4.63,4.63,4.63,1
CHEMBL4760262,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.01,5.01,5.01,5.01,1
CHEMBL4787717,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.19,5.19,5.19,5.19,1
CHEMBL4756515,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.42,5.42,5.42,5.42,1
CHEMBL4742104,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.02,5.02,5.02,5.02,1
CHEMBL4753177,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.63,4.63,4.63,4.63,1
CHEMBL4743128,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.27,5.27,5.27,5.27,1
CHEMBL4751883,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.82,4.82,4.82,4.82,1
CHEMBL4748501,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.44,5.44,5.44,5.44,1
CHEMBL4778052,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.89,5.89,5.89,5.89,1
CHEMBL5191412,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.23,4.23,4.23,4.23,1
CHEMBL5185656,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.04,4.04,4.04,4.04,1
CHEMBL5184582,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.13,5.13,5.13,5.13,1
CHEMBL5173983,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.94,5.94,5.94,5.94,1
CHEMBL5170486,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.24,4.24,4.24,4.24,1
CHEMBL5085481,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.85,4.85,4.85,4.85,1
CHEMBL5079362,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.13,5.13,5.13,5.13,1
CHEMBL4877575,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.12,5.12,5.12,5.12,1
CHEMBL4856308,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.49,4.49,4.49,4.49,1
CHEMBL4800645,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.44,6.44,6.44,6.44,1
