pChEMBL Value,Molecule ChEMBL ID,Smiles,Molecule Name,Set
4.0,CHEMBL5208456,c1c(CN2CCC2)c(-c2cc3ccc4c(c3cn2)OCO4)cc2c1OCO2,,Test
4.06,CHEMBL1085588,Cn1c2cc([S+](C)[O-])sc2c2cnn(Cc3cccc(N)c3)c(=O)c21,,Test
4.2,CHEMBL5558244,O=C(Nc1ccc(Oc2ccnc(C(=O)NCCCCNC(=O)C3CC4C=CC3C4)c2)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,,Test
4.24,CHEMBL4639855,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)NC3CCCC3)cc2)n1,,Test
4.32,CHEMBL3806061,Cc1cc(=O)oc2cc(OCc3cn(CC(=O)O[C@H]4CC[C@@]5(C)C(=CC[C@@H]6[C@@H]5CC[C@]5(C)C(=O)CC[C@@H]65)C4)nn3)ccc12,,Test
4.34,CHEMBL4648861,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)Nc3ncccc3Cl)cc2)n1,,Test
4.38,CHEMBL3310805,COc1c(NS(=O)(=O)c2ccc(F)cc2)cc(-c2ccc3nc(NC4CC4)sc3n2)cc1C(N)=O,,Test
4.42,CHEMBL3186037,CC(C)CNc1ccnc(NCc2csc(-c3ccccc3)n2)n1,,Test
4.48,CHEMBL3805245,C[C@]12CC[C@H](OC(=O)Cn3cc(CN4C(=O)C(=O)c5c(Cl)cccc54)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Test
4.5,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CURCUMIN,Test
4.54,CHEMBL5561001,CNC(=O)CC[C@@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)O,,Test
4.58,CHEMBL5559415,NC(=O)CC[C@@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,,Test
4.63,CHEMBL4762880,Cc1nn(C)c(Oc2cccc(C(F)(F)F)c2)c1/C=N\CCCCCCOc1cc2oc(=O)cc(C)c2cc1Cl,,Test
4.66,CHEMBL4291163,C=C1C(=O)O[C@H]2[C@H]1CC/C(Cn1cc(CCOC(C)=O)nn1)=C\CC[C@@]1(C)O[C@@H]21,,Test
4.67,CHEMBL5273395,CS(=O)(=O)N1CCN(Cc2ccc(-c3nc(-c4ccc(NC(=O)NC5CN6CCC5CC6)cc4)nc(N4CCOCC4)n3)s2)CC1,,Test
4.68,CHEMBL1724189,Nc1ccc(Cn2ccc3c4c(N)nc(N)nc4ccc32)cc1,,Test
4.7,CHEMBL5271397,CC(C)CNc1ccnc(NCc2csc(-c3ccc(C(F)(F)F)cc3)n2)n1,,Test
4.75,CHEMBL4646357,Cn1cc(-c2cnc(N)c(Oc3ccc(C(=O)Nc4ccccc4)cc3)n2)cn1,,Test
4.78,CHEMBL5401775,O=C1c2cc(F)ccc2N(c2cccc(F)c2)C2c3[nH]c4ccccc4c3CCN12,,Test
4.79,CHEMBL303697,Cc1nc(C)c(C)nc1C,LIGUSTRAZINE,Test
4.795,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,FLUOROURACIL,Test
4.82,CHEMBL4751883,Cc1nn(C)c(Oc2ccc(Br)cc2)c1/C=N\CCCCCOc1cc2oc(=O)cc(C)c2cc1Cl,,Test
4.84,CHEMBL572878,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,TOZASERTIB,Test
4.88,CHEMBL4294821,C=C1C(=O)O[C@@H]2[C@H]3O[C@]3(C)CC/C=C(/Cn3cc(Cc4ccccc4)nn3)CC[C@@H]12,,Test
4.93,CHEMBL5281433,c1ccc(-c2nc(CNc3nccc(NC4CCCCC4)n3)cs2)cc1,,Test
4.95,CHEMBL3401525,NC(=O)c1cc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc(C(F)(F)F)c1,,Test
4.98,CHEMBL5277266,CS(=O)(=O)N1CCN(Cc2ccc(-c3nc(-c4ccc(NC(=O)Nc5ccccn5)cc4)nc(N4CCOCC4)n3)s2)CC1,,Test
5.02,CHEMBL4779312,Cc1nn(C)c(Oc2ccc(OC(F)(F)F)cc2)c1/C=N\CCCCCCOc1cc2oc(=O)cc(C)c2cc1Cl,,Test
5.05,CHEMBL5272452,CS(=O)(=O)N1CCN(Cc2ccc(-c3nc(-c4ccc(NC(=O)Nc5ccn[nH]5)cc4)nc(N4CCOCC4)n3)s2)CC1,,Test
5.07,CHEMBL4741412,Cc1nn(C)c(Oc2cccc(Cl)c2)c1/C=N\CCCCCCOc1cc2oc(=O)cc(C)c2cc1Cl,,Test
5.1,CHEMBL4789087,Cc1ccc(Oc2c(/C=N\CCCCCOc3cc4oc(=O)cc(C)c4cc3Cl)c(C)nn2C)cc1,,Test
5.14,CHEMBL3612317,COc1ccc(-c2ccc3nc(NC(=O)NCCN4CCOCC4)sc3c2)cn1,,Test
5.17,CHEMBL5624808,O=C(/C=C/c1ccc(C(=O)N2CCN(Cc3ccccc3)C23COC3)s1)c1ccncc1,,Test
5.2,CHEMBL563939,C=C1C(=O)O[C@H]2[C@H]1CC/C(CO)=C\CC[C@@]1(C)O[C@@H]21,,Test
5.22,CHEMBL4286146,O=C(Nc1ccc(Oc2ccnc3[nH]ccc23)cc1)c1cc2cccnc2n(-c2ccc(C(F)(F)F)cc2Cl)c1=O,,Test
5.26,CHEMBL3885128,CCOC(=O)c1nc2ccccc2nc1C#Cc1cccc(C)c1,,Test
5.28,CHEMBL5624739,O=C(/C=C/c1ccc(C(=O)N2CCN(Cc3ccccc3)C23COC3)cc1)c1ccncc1,,Test
5.3,CHEMBL4280439,C=C1C(=O)O[C@H]2[C@H]1CC/C(Cn1cc(CCC)nn1)=C\CC[C@@]1(C)O[C@@H]21,,Test
5.32,CHEMBL3310595,COc1c(NS(=O)(=O)c2ccc(F)cc2)cc(-c2ccc3nc(NC(C)=O)sc3c2)cc1C(N)=O,,Test
5.37,CHEMBL4090663,Cc1nc(C)c(/C=C/C(=O)N2CCC=C(Br)C2=O)nc1C,,Test
5.4,CHEMBL3401519,NC(=O)c1cc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)ccc1OCc1ccc(F)cc1,,Test
5.43,CHEMBL4288699,C=C1C(=O)O[C@@H]2[C@H]3O[C@]3(C)CC/C=C(/Cn3cc(C(=O)OCc4ccc(OC)cc4)nn3)CC[C@@H]12,,Test
5.45,CHEMBL4207763,CCCNC(=O)c1cc(Oc2ccc(NC(=O)c3cc4cccnc4n(-c4ccc(F)c(Cl)c4)c3=O)cc2)ccn1,,Test
5.47,CHEMBL5555620,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCNCc1ccc(-c2cccc(-c3ccccc3)c2C)nc1OC,,Test
5.48,CHEMBL3885039,CCOC(=O)c1nc2ccccc2nc1C#Cc1ccc(C)cc1,,Test
5.51,CHEMBL5630510,O=C(/C=C/c1cccc(C(=O)N2CCN(Cc3ccccc3)C23COC3)c1)c1ccccc1,,Test
5.53,CHEMBL4282461,C=C1C(=O)O[C@H]2[C@H]1CC/C(Cn1cc(CNC(=O)/C=C/c3ccccc3)nn1)=C\CC[C@@]1(C)O[C@@H]21,,Test
5.58,CHEMBL5624537,COc1ccc(C(=O)/C=C/c2cccc(C(=O)N3CCN(Cc4ccccc4)C34COC4)c2)cc1,,Test
5.59,CHEMBL4286454,Cn1ccc2c(Oc3ccc(NC(=O)c4cc5cccnc5n(-c5ccc(Br)cc5)c4=O)cc3F)ccnc21,,Test
5.63,CHEMBL4281371,Cn1ccc2c(Oc3ccc(NC(=O)c4cc5cccnc5n(-c5ccc(F)c(Cl)c5)c4=O)cc3)ccnc21,,Test
5.68,CHEMBL5624452,COc1cc(C(=O)/C=C/c2ccc(C(=O)N3CCN(Cc4ccccc4)C34COC4)cc2)cc(OC)c1OC,,Test
5.7,CHEMBL4278041,C=C1C(=O)O[C@H]2[C@H]1CC/C(Cn1cc(C(=O)OCc3ccc([N+](=O)[O-])cc3)nn1)=C\CC[C@@]1(C)O[C@@H]21,,Test
5.72,CHEMBL3884836,CCOC(=O)c1nc2ccccc2nc1C#Cc1cccc(F)c1,,Test
5.74,CHEMBL4209961,CNC(=O)c1cc(Oc2ccc(NC(=O)c3cc4cccnc4n(-c4ccccc4)c3=O)cc2)ccn1,,Test
5.76,CHEMBL3612196,O=C(Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1)NC1CC1,,Test
5.78,CHEMBL3612319,COc1ncc(-c2ccc3nc(NC(=O)NCCN4CCOCC4)sc3c2)cc1NS(=O)(=O)C1CC1,,Test
5.8,CHEMBL3416004,COc1cc2nc(-c3cccc(C(N)=O)c3)nc(N3CCOCC3)c2cc1OC,,Test
5.82,CHEMBL4099282,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccc(F)cc5)c4=O)cc3F)ccnc2cc1OCCCN1CCCC1,,Test
5.83,CHEMBL4799952,COc1ccccc1-c1csc2cnc(Nc3cc(F)c(C(=O)NC4CCNCC4)cc3F)nc12,,Test
5.86,CHEMBL3612197,CCN(CC)CCNC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1,,Test
5.88,CHEMBL4289873,Cn1ccc2c(Oc3ccc(NC(=O)c4cc5cccnc5n(-c5ccc(F)cc5)c4=O)cc3F)ccnc21,,Test
5.9,CHEMBL5277445,CS(=O)(=O)N1CCN(Cc2ccc(-c3nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc(N4CCOCC4)n3)s2)CC1,,Test
5.91,CHEMBL3612199,CNC(=O)Nc1nc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1,,Test
5.93,CHEMBL4059832,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccccc5F)c4=O)cc3F)ccnc2cc1OCCCN1CCCCC1,,Test
5.94,CHEMBL3339367,COc1cc2c(Oc3ccc(CC(=O)N/N=C(/C)c4ccc(O)cc4)cc3F)ccnc2cc1OCCCN1CCCC1,,Test
5.97,CHEMBL5560076,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCNCc1ccc(-c2cccc(-c3ccccc3)c2C)nc1OC,,Test
5.98,CHEMBL3612320,COc1ncc(-c2ccc3nc(NC(=O)NCCN4CCOCC4)sc3c2)cc1NS(=O)(=O)c1ccc(Cl)cc1,,Test
6.0,CHEMBL4290751,C=C1C(=O)O[C@@H]2[C@H]3O[C@]3(C)CC/C=C(/Cn3cc(COc4ccc(-c5ccccc5)cc4)nn3)CC[C@@H]12,,Test
6.02,CHEMBL4204920,CCCNC(=O)c1cc(Oc2ccc(NC(=O)c3cc4cccnc4n(-c4ccc(F)cc4)c3=O)cc2)ccn1,,Test
6.06,CHEMBL4098250,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccc(F)cc5)c4=O)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,,Test
6.09,CHEMBL4095304,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccc(F)cc5)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,,Test
6.17,CHEMBL3339352,COc1cc2c(Oc3ccc(CC(=O)N/N=C/c4ccc(S(C)(=O)=O)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1,,Test
6.21,CHEMBL4648258,COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1OC(=O)c1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,,Test
6.23,CHEMBL3339345,COc1cc2c(Oc3ccc(CC(=O)N/N=C(/C)c4ccccc4)cc3F)ccnc2cc1OCCCN1CCCC1,,Test
6.29,CHEMBL3339371,COc1cc2c(Oc3ccc(CC(=O)N/N=C(/C)c4ccc(C(F)(F)F)cc4)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,,Test
6.32,CHEMBL3339340,COc1cc2c(Oc3ccc(CC(=O)N/N=C/c4ccccc4)cc3F)ccnc2cc1OCCCN1CCOCC1,,Test
6.38,CHEMBL3339344,COc1cc2c(Oc3ccc(CC(=O)N/N=C/c4ccccc4)cc3F)ccnc2cc1OCCCN1CCCC1,,Test
6.43,CHEMBL4644554,COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1OC(=O)c1cccc(Cn2cc(CCOC(=O)c3cccc(Cn4nnc5c4C(=O)c4ccccc4C5=O)c3)nn2)c1,,Test
6.46,CHEMBL3339365,COc1cc2c(Oc3ccc(CC(=O)N/N=C(/C)c4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCCC1,,Test
6.6,CHEMBL4786967,COc1ccccc1-c1csc2cnc(Nc3ccc(C(=O)NC4CCNCC4)cc3C)nc12,,Test
6.8,CHEMBL4785582,COc1ccccc1-c1csc2cnc(Nc3ccc(C(=O)NC4CCNCC4)c(F)c3)nc12,,Test
7.05,CHEMBL5409171,C[C@@H]1CC[C@H]2[C@@H](C)C(OCCNC(=O)c3ccc(COc4ccc(/C=C/S(=O)(=O)Nc5ccc(OC(F)(F)F)cc5)cc4)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,,Test
7.24,CHEMBL4096223,C=C[C@]1(C)CC[C@@H](C(=C)COC(=O)CCNC(=O)CCC(=O)OCCCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)C[C@H]1C(=C)C,,Test
7.62,CHEMBL4080633,C=C[C@]1(C)CC[C@@H](C(=C)COC(=O)CCC(=O)OCCOCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)C[C@H]1C(=C)C,,Test
8.15,CHEMBL4083156,C=C[C@]1(C)CC[C@@H](C(=C)COC(=O)CCC(=O)OCCCCOc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)C[C@H]1C(=C)C,,Test
4.01,CHEMBL3805047,COc1ccc(NCc2cn(CC(=O)O[C@H]3CC[C@@]4(C)C(=CC[C@@H]5[C@@H]4CC[C@]4(C)C(=O)CC[C@@H]54)C3)nn2)cc1,,Train
4.04,CHEMBL3805540,C[C@]12CC[C@H](OC(=O)Cn3cc(CN4C(=O)C(=O)c5cc(F)ccc54)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.04,CHEMBL5185656,CCN(Cc1cc2c(cc1-c1cc3ccc4c(c3cn1)OCO4)OCO2)C(C)C,,Train
4.06,CHEMBL3805633,C[C@]12CC[C@H](OC(=O)Cn3cc(CNc4ccc(Br)cc4)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.14,CHEMBL5275650,c1ccc(-c2nc(CNc3nccc(NC4CC4)n3)cs2)cc1,,Train
4.15,CHEMBL4643724,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)Nc3cc(Cl)ccn3)cc2)n1,,Train
4.19,CHEMBL4648432,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)Nc3cccc(Cl)n3)cc2)n1,,Train
4.19,CHEMBL5198581,c1c(CN2CCCCC2)c(-c2cc3ccc4c(c3cn2)OCO4)cc2c1OCO2,,Train
4.22,CHEMBL5191703,CCNCc1cc2c(cc1-c1cc3ccc4c(c3cn1)OCO4)OCO2,,Train
4.22,CHEMBL4648575,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)Nc3ccccc3Cl)cc2)n1,,Train
4.23,CHEMBL5191412,CCCCN(CC)Cc1cc2c(cc1-c1cc3ccc4c(c3cn1)OCO4)OCO2,,Train
